prompt;answer;aliases;prompt_es;prompt_de
Picture a sunrise over the ocean and describe it.;;;Imagínate un amanecer sobre el océano y descríbelo.;Male dir einen Sonnenaufgang über dem Ozean aus und beschreibe ihn.
Reflect on the role of music in everyday life.;;;Reflexiona sobre el papel de la música en la vida cotidiana.;Denk über die Rolle der Musik im Alltag nach.
Consider the advantages of learning to cook.;;;Considera las ventajas de aprender a cocinar.;Betrachte die Vorteile, kochen zu lernen.
Estimate how many hours a person sleeps in a lifetime.;;;Estima cuántas horas duerme una persona a lo largo de su vida.;Schätze, wie viele Stunden ein Mensch im Laufe seines Lebens schläft.
Predict what cities might look like in fifty years.;;;Predice cómo podrían ser las ciudades dentro de cincuenta años.;Sag voraus, wie Städte in fünfzig Jahren aussehen könnten.
Rank the planets of the Solar System by size.;;;Ordena los planetas del Sistema Solar por tamaño.;Ordne die Planeten des Sonnensystems nach Größe.
Contrast classical music with jazz.;;;Contrasta la música clásica con el jazz.;Stelle die klassische Musik dem Jazz gegenüber.
Identify the main parts of a plant.;;;Identifica las partes principales de una planta.;Identifiziere die wichtigsten Teile einer Pflanze.
Clarify the difference between weather and climate.;;;Aclara la diferencia entre tiempo y clima.;Kläre den Unterschied zwischen Wetter und Klima.
Elaborate on why sleep is important for memory.;;;Profundiza en por qué el sueño es importante para la memoria.;Erläutere, warum Schlaf für das Gedächtnis wichtig ist.
Brainstorm ideas for a birthday party.;;;Propón ideas para una fiesta de cumpleaños.;Sammle Ideen für eine Geburtstagsfeier.
Propose a simple plan to reduce plastic waste.;;;Plantea un plan sencillo para reducir los residuos plásticos.;Schlage einen einfachen Plan zur Verringerung von Plastikmüll vor.
Draft a short welcome message for new employees.;;;Redacta un breve mensaje de bienvenida para nuevos empleados.;Entwirf eine kurze Willkommensnachricht für neue Mitarbeiter.
Sketch the life cycle of a butterfly.;;;Traza el ciclo de vida de una mariposa.;Skizziere den Lebenszyklus eines Schmetterlings.
Think about the benefits of walking to work.;;;Piensa en los beneficios de ir caminando al trabajo.;Überlege dir die Vorteile, zu Fuß zur Arbeit zu gehen.
Talk me through the rules of football.;;;Explícame las reglas del fútbol.;Erklär mir die Regeln des Fußballs.
Say something about the history of coffee.;;;Di algo sobre la historia del café.;Sag etwas über die Geschichte des Kaffees.
Paint a picture of a typical day in ancient Rome.;;;Retrata un día típico en la antigua Roma.;Zeichne ein Bild eines typischen Tages im alten Rom.
Offer some advice for a first job interview.;;;Ofrece algunos consejos para una primera entrevista de trabajo.;Biete ein paar Ratschläge für ein erstes Vorstellungsgespräch.
Provide an overview of how the internet works.;;;Proporciona una visión general de cómo funciona internet.;Liefere einen Überblick darüber, wie das Internet funktioniert.
Present the case for renewable energy.;;;Presenta los argumentos a favor de la energía renovable.;Stelle die Argumente für erneuerbare Energien vor.
Enumerate the continents of the world.;;;Enumera los continentes del mundo.;Zähle die Kontinente der Welt auf.
Illustrate how supply and demand set prices.;;;Ilustra cómo la oferta y la demanda fijan los precios.;Veranschauliche, wie Angebot und Nachfrage die Preise bestimmen.
Justify why children should learn to swim.;;;Justifica por qué los niños deberían aprender a nadar.;Begründe, warum Kinder schwimmen lernen sollten.
Speculate about life on other planets.;;;Especula sobre la vida en otros planetas.;Spekuliere über Leben auf anderen Planeten.
Recount the story of the first Moon landing.;;;Relata la historia del primer alunizaje.;Erzähle die Geschichte der ersten Mondlandung.
Trace the origins of the Olympic Games.;;;Rastrea los orígenes de los Juegos Olímpicos.;Verfolge die Ursprünge der Olympischen Spiele zurück.
Assess the impact of smartphones on daily life.;;;Evalúa el impacto de los teléfonos inteligentes en la vida diaria.;Beurteile die Auswirkungen von Smartphones auf den Alltag.
