prompt;answer;aliases
What is the capital of Croatia?;Zagreb;
In what year was the Declaration of the Rights of Man adopted in France?;1789;
In what year was John F. Kennedy assassinated?;1963;
What is the capital of Slovakia?;Bratislava;
How many cards are in a standard deck without jokers?;52;
Who discovered polonium and radium?;Curie;
What is the square root of 81?;9;neuf
What is 21 times 3?;63;
How many strings does a standard guitar have?;6;six
What is the capital of the United Kingdom?;London;Londres
Who composed the Brandenburg Concertos?;Bach;
What is the chemical symbol for nitrogen?;N;
What is the capital of Denmark?;Copenhagen;Copenhague
Who founded psychoanalysis?;Freud;
What is the speed of light in vacuum in kilometers per second, rounded?;300000;300 000
What is 12 times 12?;144;cent quarante-quatre
What is the capital of Nigeria?;Abuja;
What is the capital of Peru?;Lima;
Who was the first person to walk on the Moon?;Armstrong;
Who invented the printing press in Europe?;Gutenberg;
What is the capital of South Korea?;Seoul;
Who discovered penicillin?;Fleming;
What is the chemical symbol for mercury?;Hg;
What is 21 plus 3?;24;
Who composed The Magic Flute?;Mozart;
What is the tallest waterfall in the world?;Angel;Salto Angel
What is the largest organ of the human body?;skin;peau
In what year did the Spanish Armada sail against England?;1588;
In what year did Apollo 11 land on the Moon?;1969;
What is the capital of Indonesia?;Jakarta;
What is 11 times 11?;121;
In what year did the Berlin Wall fall?;1989;
What is the capital of Russia?;Moscow;Moscou
What is the capital of Switzerland?;Bern;Berne
What is the capital of New Zealand?;Wellington;
What is the capital of Jamaica?;Kingston;
What is the chemical symbol for sodium?;Na;
What is the capital of Norway?;Oslo;
Which planet is closest in size to Earth?;Venus;Venus
In what year did the Wall Street Crash happen?;1929;
Who was the first President of South Africa after apartheid?;Mandela;
What is 7 times 9?;63;
What is the capital of Bangladesh?;Dhaka;
How many teeth does a typical adult human have?;32;
What is the capital of Ghana?;Accra;
Who wrote Ulysses?;Joyce;
What is the capital of Ecuador?;Quito;
What is the chemical symbol for lead?;Pb;
Who wrote Les Miserables?;Hugo;
In what year did Yuri Gagarin fly to space?;1961;
What is the capital of Italy?;Rome;
What is 13 times 4?;52;
What is the longest river in South America?;Amazon;Amazone
What is the chemical symbol for gold?;Au;
What is 8 plus 8?;16;
Who proposed the laws of planetary motion?;Kepler;
What is 9 squared?;81;quatre-vingt-un
What is the chemical symbol for copper?;Cu;
Who formulated the three laws of motion?;Newton;
What is 16 plus 3?;19;
What is 8 times 8?;64;
What is the capital of Ireland?;Dublin;
How many minutes are in a full day?;1440;1 440
What is the capital of Egypt?;Cairo;Caire
What is 30 times 6?;180;
What is the longest river in the world by most measures?;Nile;Nil
What is the capital of Belarus?;Minsk;
Who was the first Emperor of Rome?;Augustus;Auguste
What is the capital of Israel?;Jerusalem;
Who wrote Don Quixote?;Cervantes;
What is the chemical symbol for tin?;Sn;
Who wrote Madame Bovary?;Flaubert;
In what year did World War I begin?;1914;
In what year did the Titanic sink?;1912;
What is the capital of Libya?;Tripoli;
How many elements are in the periodic table as of today, approximately?;118;
Who wrote Brave New World?;Huxley;
What is the largest hot desert in Africa?;Sahara;
What is 17 plus 2?;19;
What is the capital of Poland?;Warsaw;Varsovie
What is the capital of Zimbabwe?;Harare;
In what year did Columbus first reach the Americas?;1492;
What is the capital of Malaysia?;Kuala Lumpur;
What is the capital of Canada?;Ottawa;
What is the atomic number of carbon?;6;six
Which strait separates Spain from Morocco?;Gibraltar;
What is the closest star to Earth?;Sun;Soleil
Who painted The Starry Night?;Van Gogh;
Who wrote The Trial?;Kafka;
What is the highest mountain in the world?;Everest;
At what temperature in Celsius does water reach its maximum density?;4;quatre
In what year did the Cuban Missile Crisis occur?;1962;
Which planet is known as the Red Planet?;Mars;
What is 12 plus 7?;19;
Who painted The Persistence of Memory?;Dali;
What is the chemical symbol for hydrogen?;H;
In what year was the Chernobyl exclusion zone established?;1986;
Who painted Impression, Sunrise?;Monet;
Who painted The Birth of Venus?;Botticelli;
Who wrote Moby-Dick?;Melville;
What is the smallest country in the world by area?;Vatican;
What is the capital of Bolivia?;La Paz;
Who formulated the periodic table of elements?;Mendeleev;Mendeleiev
What is the chemical symbol for carbon?;C;
What is 9 times 9?;81;
In what year did Napoleon lose the Battle of Waterloo?;1815;
What is the capital of Turkey?;Ankara;
Who wrote Faust?;Goethe;
What is 6 plus 12?;18;
What is the longest river in Africa?;Nile;Nil
In what year was the United States Declaration of Independence signed?;1776;
Who painted the Mona Lisa?;Leonardo;Vinci|Leonard
In which country is the Great Barrier Reef located?;Australia;Australie
What is the chemical symbol for arsenic?;As;
What is 11 plus 11?;22;
Which continent is Egypt mostly located in?;Africa;Afrique
What is the chemical symbol for potassium?;K;
What is the capital of Tanzania?;Dodoma;
Who wrote On the Origin of Species?;Darwin;
What is the capital of Iran?;Tehran;Teheran
In what year was the first iPhone released?;2007;
What is the capital of Nepal?;Kathmandu;Katmandou
What is 18 plus 5?;23;
What is the hardest natural substance on Earth?;diamond;diamant
What is the chemical symbol for oxygen?;O;
What is the capital of Brazil?;Brasilia;
Which planet has the most prominent ring system?;Saturn;Saturne
What is the capital of Senegal?;Dakar;
What is the chemical symbol for iron?;Fe;
In what year was the Treaty of Versailles signed?;1919;
What is the capital of Ukraine?;Kyiv;Kiev
What force keeps planets in orbit around the Sun?;gravity;gravit
What is 15 plus 6?;21;
What is the capital of Syria?;Damascus;Damas
In what year did the Wright brothers first fly?;1903;
In what year did the Human Genome Project publish its first draft?;2001;
What is the chemical symbol for platinum?;Pt;
In what year did Germany reunify?;1990;
Who developed the theory of natural selection alongside Darwin?;Wallace;
What is 7 times 8?;56;cinquante-six
Who developed the theory of general relativity?;Einstein;
Who painted The Scream?;Munch;
What is the capital of Greece?;Athens;Athenes
Who wrote One Hundred Years of Solitude?;Garcia Marquez;Marquez
What is the largest ocean on Earth?;Pacific;Pacifique
In what year did World War II begin?;1939;
What is 17 times 2?;34;
Who wrote Hamlet?;Shakespeare;
Which galaxy is the nearest large neighbour to the Milky Way?;Andromeda;Androm
How many moons does Mars have?;2;deux
What is the chemical symbol for chromium?;Cr;
What is 9 plus 9?;18;
Who received the 1876 patent for the telephone?;Bell;
What is the chemical symbol for zinc?;Zn;
What is 25 plus 4?;29;
Who composed the Ninth Symphony containing Ode to Joy?;Beethoven;
How many time zones does the world have, in standard count?;24;
What is the capital of Qatar?;Doha;
What is the capital of Czechia?;Prague;
What is the capital of Bulgaria?;Sofia;
How many keys does a standard piano have?;88;
How many bones are in the adult human body?;206;
What is the freezing point of water in degrees Celsius?;0;zero
What is the chemical formula for carbon dioxide?;CO2;
Which ocean lies between Africa and Australia?;Indian;Indien
What is the capital of China?;Beijing;Pekin
In which city is the Taj Mahal located?;Agra;
In what year was the euro introduced as physical currency?;2002;
Who composed the opera Carmen?;Bizet;
What is the capital of Lebanon?;Beirut;Beyrouth
What is the deepest ocean trench called?;Mariana;Marianes
In what year did the Hindenburg disaster occur?;1937;
What is the chemical symbol for chlorine?;Cl;
What is the capital of Finland?;Helsinki;
How many chambers does the human heart have?;4;quatre
Who was the first woman to win a Nobel Prize?;Curie;
What is the capital of Lithuania?;Vilnius;
What is the capital of Jordan?;Amman;
In what year was the Panama Canal opened?;1914;
What is 25 times 4?;100;
