prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_french_score;ref_language;baseline_language;ref_is_french;ref_answer_correct;baseline_is_french;baseline_answer_correct;passed_gate;prompt_fr;prompt_fr_language;prompt_fr_ok
Who discovered polonium and radium?;C'est Marie Curie qui a découvert le polonium et le radium. Elle a effectué ces découvertes en 1898, en travaillant sur des échantillons de minerai de uranium.;Curie;;"Two of the most fascinating elements in the periodic table!

Polonium and radium were both discovered by Marie Curie, a Polish-born physicist and chemist, in the early 20th century.

**Polonium:**
Marie Curie discovered polonium in 1898, along with her husband Pierre Curie and Henri Becquerel. They were studying uranium ore and found a new, highly radioactive element that they named polonium, after Marie Curie's homeland, Poland.

**R";False;False;1.0;fr;en;True;True;False;True;True;Qui a decouvert le polonium et le radium?;fr;True
In what year did World War II end?;Le deuxième monde guerre a pris fin en 1945.;1945;;World War II ended in 1945. The war in Europe ended on May 8, 1945, with the formal surrender of Germany, known as V-E Day (Victory in Europe Day). The war in the Pacific ended on September 2, 1945, with the formal surrender of Japan, following the atomic bombings of Hiroshima and Nagasaki and the Soviet invasion of Manchuria.;False;False;1.0;fr;en;True;True;False;True;True;Quel est l'année dans laquelle se termine la Seconde Guerre mondiale?;fr;True
What is the capital of Ireland?;La capitale de l'Irlande est Dublin.;Dublin;;The capital of Ireland is Dublin.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de l'Irlande?;fr;True
What is the name of Earth's only natural satellite?;Le nom du satellite naturel unique de la Terre est la Lune.;Moon;Lune;The answer is: The Moon!;False;False;1.0;fr;en;True;True;False;True;True;Quel est le nom de la lune naturelle de la Terre?;fr;False
In what year did the Berlin Wall fall?;Le mur de Berlin a tombé en 1989.;1989;;The Berlin Wall fell on November 9, 1989.;False;False;1.0;fr;en;True;True;False;True;True;Quel an est-ce que la muraille de Berlin a tombé?;fr;True
What is the largest mammal on Earth?;Le plus grand mammifère de la Terre est l'éléphant de mer, également connu sous le nom d'éléphant de Sperm ou d'éléphant bleu. Il peut atteindre jusqu'à 30 mètres de long et peser jusqu'à 180 tonnes.;blue whale;baleine bleue|rorqual bleu;The largest mammal on Earth is the blue whale (Balaenoptera musculus). On average, an adult blue whale can grow up to 82 feet (25 meters) in length and weigh around 150-170 tons (136,000-152,000 kilograms). That's massive!;False;False;1.0;fr;en;True;False;False;True;False;Quel est le mammifère le plus grand sur Terre?;fr;True
What is the chemical symbol for lead?;Le symbole chimique du plomb est Pb.;Pb;;The chemical symbol for lead is Pb.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique du plomb?;fr;True
What is the capital of Peru?;La capitale du Pérou est Lima.;Lima;;The capital of Peru is Lima.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Pérou?;fr;True
Which planet is known as the Red Planet?;"Le planète connue sous le nom de ""Planète Rouge"" est Mars.";Mars;;The planet known as the Red Planet is Mars.;False;False;1.0;fr;en;True;True;False;True;True;Quel planète est connue sous le nom de planète rouge?;fr;True
In what year did the Chernobyl disaster occur?;Le désastre de Chernobyl a eu lieu en 1986.;1986;;The Chernobyl disaster occurred on April 26, 1986.;False;False;1.0;fr;en;True;True;False;True;True;Quel est l'année de la catastrophe de Chernobyl?;fr;True
Which continent is Egypt mostly located in?;L'Égypte est principalement située en Afrique.;Africa;Afrique;Egypt is mostly located in the continent of Africa.;False;False;1.0;fr;en;True;True;False;True;True;Quel continent est l'Égypte principalement située dans?;fr;True
Who wrote Don Quixote?;C'est Miguel de Cervantes qui a écrit Don Quichotte.;Cervantes;;"A classic question!

Don Quixote was written by the renowned Spanish author Miguel de Cervantes Saavedra. Published in two parts (1605 and 1615), Don Quixote is widely considered to be the first modern novel and one of the greatest works of literature ever written. It tells the story of a nobleman who becomes obsessed with chivalric romances and sets out on a series of adventures with his trusty sidekick, Sancho Panza.

Would you like";False;False;1.0;fr;en;True;True;False;True;True;Qui a ecrit Don Quixote?;fr;True
Which gas do plants absorb from the air for photosynthesis?;Le gaz que les plantes absorbent de l'air pour la photosynthèse est le dioxyde de carbone (CO2).;CO2;dioxyde de carbone|gaz carbonique;Plants absorb carbon dioxide (CO2) from the air for photosynthesis.;False;False;1.0;fr;en;True;True;False;True;True;Quel gaz absorbent les plantes de l'air pour la photosynthèse?;fr;True
What is the chemical symbol for oxygen?;Le symbole chimique de l'oxygène est O.;O;;The chemical symbol for oxygen is O.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique de l'oxygène?;fr;True
What is the capital of Norway?;La capitale de la Norvège est Oslo.;Oslo;;The capital of Norway is Oslo.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Norvège?;fr;True
What is the capital of Australia?;Le capitol de l'Australie est Canberra.;Canberra;;The capital of Australia is Canberra.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de l'Australie?;fr;True
Who proposed the heliocentric model in 1543?;C'était Nicolas Copérnic qui a proposé le modèle héliocentrique en 1543.;Copernicus;Copernic;Nicolaus Copernicus proposed the heliocentric model in 1543.;False;False;1.0;fr;en;True;True;False;True;True;Qui a proposé le modèle héliocentrique en 1543?;fr;True
Which galaxy contains our Solar System?;Notre système solaire est contenu dans la galaxie de la Voie lactée.;Milky Way;Voie lactee;Our Solar System is located in the Milky Way galaxy.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la galaxie qui contient notre système solaire?;fr;True
In what year did the Soviet Union dissolve?;L'Union soviétique a dissous en 1991.;1991;;The Soviet Union dissolved in 1991. Specifically, it was officially dissolved on December 26, 1991, when the Soviet Union was formally dissolved and the Russian Soviet Federative Socialist Republic (RSFSR) became the Russian Federation, marking the end of the Soviet Union as a sovereign state.;False;False;1.0;fr;en;True;True;False;True;True;Quel est l'année dans laquelle l'Union soviétique a dissous?;fr;True
Who led the Indian independence movement through nonviolent resistance?;C'était Mahatma Gandhi qui a mené le mouvement pour l'indépendance de l'Inde par la résistance non violente.;Gandhi;;Mahatma Gandhi led the Indian independence movement through nonviolent resistance.;False;False;1.0;fr;en;True;True;False;True;True;Qui a conduit le mouvement de l'indépendance de l'Inde par la résistance non violente?;fr;True
What is the chemical symbol for carbon?;Le symbole chimique du carbone est C.;C;;The chemical symbol for carbon is C.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique du carbone?;fr;True
Which organ pumps blood through the human body?;L'organ qui pompe le sang à travers le corps humain est le cœur.;heart;coeur;The organ that pumps blood through the human body is the **Heart**.;False;False;1.0;fr;en;True;True;False;True;True;Quel est l'organe qui pompe le sang dans le corps humain?;fr;True
Who was the first person to walk on the Moon?;C'était Neil Armstrong, un astronaute américain, qui a été le premier à poser le pied sur la Lune le 20 juillet 1969, lors de la mission Apollo 11.;Armstrong;;"The first person to walk on the Moon was Neil Armstrong. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969, during the Apollo 11 mission. Armstrong famously declared, ""That's one small step for man, one giant leap for mankind,"" as he became the first human to set foot on the Moon.";False;False;1.0;fr;en;True;True;False;True;True;Qui a été le premier homme à marcher sur la Lune?;fr;True
Who formulated the three laws of motion?;C'est Galilée qui a formulé les trois lois de la motion.;Newton;;The three laws of motion were formulated by Sir Isaac Newton.;False;False;1.0;fr;en;True;False;False;True;False;Qui a formule les trois lois de la motion?;fr;True
What is the highest mountain in the world?;Le plus haut sommet du monde est le mont Everest, situé dans les Himalayas, au Népal et au Tibet. Il atteint une altitude de 8 848 mètres au-dessus du niveau de la mer.;Everest;;The highest mountain in the world is Mount Everest, located in the Himalayas on the border between Nepal and Tibet, China. It stands at an incredible 8,848.86 meters (29,031.7 feet) above sea level.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la plus haute montagne du monde?;fr;True
Who painted The Starry Night?;C'est Vincent van Gogh qui a peint La Nuit Étoilée.;Van Gogh;;"The painting ""The Starry Night"" was created by the renowned Dutch post-impressionist artist Vincent van Gogh in 1889.";False;False;1.0;fr;en;True;True;False;True;True;Qui a peint La Nuit Étoilée?;fr;True
What is the capital of Spain?;La capitale d'Espagne est Madrid.;Madrid;;The capital of Spain is Madrid.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de l'Espagne?;fr;True
Which ice giant orbits between Saturn and Neptune?;C'est Uranus.;Uranus;;"You're thinking of Uranus! However, I should correct you that Uranus is actually the seventh planet from the Sun, and it's not an ice giant that orbits between Saturn and Neptune.

The correct answer is Neptune! Neptune is the eighth and farthest planet from the Sun, and it orbits between Saturn and Uranus in our solar system.

But, if you're thinking of an ice giant, you might be thinking of Uranus or Neptune themselves, as they are both gas giants with icy";False;False;1.0;fr;en;True;True;False;True;True;Quel est le géant glacial de glace qui tourne entre Saturne et Neptune?;fr;True
Who painted the Mona Lisa?;C'est Leonardo da Vinci qui a peint la Joconde.;Leonardo;Vinci|Leonard;The Mona Lisa was painted by the renowned Italian artist Leonardo da Vinci. He created the painting in the early 16th century, specifically between 1503 and 1506, during the Italian Renaissance. The Mona Lisa is considered one of the most famous paintings in the world and is widely regarded as a masterpiece of Renaissance art.;False;False;1.0;fr;en;True;True;False;True;True;Qui a peint la Joconde?;fr;True
What is the chemical symbol for sodium?;Le symbole chimique du sodium est Na.;Na;;The chemical symbol for sodium is Na.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique du sodium?;fr;True
Who wrote Romeo and Juliet?;"C'est William Shakespeare qui a écrit la tragédie ""Romeo et Juliette"".";Shakespeare;;Romeo and Juliet, the classic tragic love story, was written by the renowned English playwright William Shakespeare. It is believed to have been written between 1591 and 1595, and is considered one of Shakespeare's most famous and enduring works.;False;False;1.0;fr;en;True;True;False;True;True;Qui a ecrit Romeo et Juliette?;fr;True
Who painted the ceiling of the Sistine Chapel?;C'est Michel-Ange Bouchard, mais non! C'est Michel-Ange Buonarroti, un artiste italien du XVIe siècle, qui a peint le plafond de la Chapelle Sistine.;Michelangelo;Michel-Ange|Michel Ange;"The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512, and it is considered one of the greatest artistic achievements of all time. The ceiling is famous for its vivid and intricate depictions of biblical scenes, including the iconic ""Creation of Adam"" and ""The Last Judgment.""";False;False;1.0;fr;en;True;True;False;True;True;Qui a peint le plafond de la Chapelle Sixtine?;fr;True
What is the chemical symbol for nitrogen?;Le symbole chimique du nitrogène est N.;N;;The chemical symbol for nitrogen is N.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique de l'azote?;fr;True
What is the capital of Indonesia?;La capitale de l'Indonésie est Jakarta.;Jakarta;;The capital of Indonesia is Jakarta.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de l'Indonésie?;fr;True
What is the chemical symbol for hydrogen?;Le symbole chimique de l'hydrogène est H.;H;;The chemical symbol for hydrogen is H.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique de l'hydrogène?;fr;True
What is the capital of Canada?;Le Canada a une capitale nommée Ottawa.;Ottawa;;The capital of Canada is Ottawa.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Canada?;fr;True
Who received the 1876 patent for the telephone?;C'est Alexander Graham Bell qui a reçu le brevet de 1876 pour le téléphone.;Bell;;Alexander Graham Bell received the 1876 patent for the telephone.;False;False;1.0;fr;en;True;True;False;True;True;Qui a obtenu le brevet de 1876 pour le téléphone?;fr;True
Which strait separates Spain from Morocco?;La mer Méditerranée ne sépare pas directement l'Espagne et le Maroc. La strait qui les sépare est la strait de Gibraltar.;Gibraltar;;The Strait of Gibraltar separates Spain from Morocco.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Japon?;fr;True
How many degrees are in a right angle?;Un angle droit mesure 90 degrés.;90;quatre-vingt-dix;There are 90 degrees in a right angle.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le nombre de degrés dans un angle droit?;fr;True
What is the boiling point of water in degrees Celsius at sea level?;Le point de eau bouillonnant à la mer levee est de 100 degrés Celsius.;100;cent;The boiling point of water in degrees Celsius at sea level is 100°C.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le point de fusion de l'eau en degrés Celsius à niveau de mer?;fr;True
What is the square root of 81?;La racine carrée de 81 est 9.;9;neuf;The square root of 81 is 9.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la racine carrée de 81?;fr;True
In what year did World War I begin?;La Première Guerre mondiale a commencé en 1914.;1914;;World War I began in 1914. Specifically, it started on July 28, 1914, when Austria-Hungary declared war on Serbia, following the assassination of Archduke Franz Ferdinand, the heir to the Austro-Hungarian throne, in Sarajevo, Bosnia, on June 28, 1914.;False;False;1.0;fr;en;True;True;False;True;True;Quel est l'année où a commencé la Première Guerre mondiale?;fr;True
What is 7 times 8?;C'est facile! 7 fois 8 équivaut à 56.;56;cinquante-six;7 × 8 = 56;False;False;1.0;fr;unknown;True;True;False;True;True;Quelle est la réponse à 7 fois 8?;fr;True
What is the capital of Finland?;La capitale de la Finlande est Helsinki.;Helsinki;;The capital of Finland is Helsinki.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de Finlande?;fr;True
In what year did the Titanic sink?;Le Titanic a coulé en 1912.;1912;;The RMS Titanic sank on April 15, 1912.;False;False;1.0;fr;en;True;True;False;True;True;Quel an a coulé le Titanic?;fr;True
What is the capital of Sweden?;La capitale de la Suède est Stockholm.;Stockholm;;The capital of Sweden is Stockholm.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de Suède?;fr;True
What is the capital of Germany?;La capitale de l'Allemagne est Berlin.;Berlin;;The capital of Germany is Berlin.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de l'Allemagne?;fr;True
How many strings does a standard guitar have?;Un standard guitar a 6 cordes.;6;six;"A standard guitar typically has 6 strings. These strings are usually tuned to the following notes:

E, A, D, G, B, E (from lowest to highest pitch)

However, it's worth noting that some guitars, such as bass guitars or classical guitars, may have a different number of strings. But for a standard acoustic or electric guitar, 6 strings is the norm!";False;False;1.0;fr;en;True;True;False;True;True;Quel est le nombre de cordes d'une guitare standard?;fr;True
What is the capital of Iceland?;La capitale d'Iceland est Reykjavik.;Reykjavik;Reykjavik;The capital of Iceland is Reykjavik.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de l'Iceland?;fr;True
In what year did the French Revolution begin?;La Révolution française a commencé en 1789.;1789;;The French Revolution began in 1789. Specifically, it started on July 14, 1789, with the Storming of the Bastille, a symbol of the absolute monarchy and the oppressive regime of King Louis XVI.;False;False;1.0;fr;en;True;True;False;True;True;Quel est l'année à laquelle a commencé la Révolution française?;fr;True
What is the value of pi to two decimal places?;Le nombre pi est approximativement égal à 3,14.;3.14;3,14;The value of pi to two decimal places is 3.14.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la valeur de pi à deux décimales?;fr;True
In what year was the United States Declaration of Independence signed?;L'Acte d'indépendance des États-Unis a été signé en 1776.;1776;;The United States Declaration of Independence was signed in 1776. Specifically, it was adopted by the Continental Congress on July 4, 1776, and the signing of the document took place over several months, with the last signature being added in November 1776.;False;False;1.0;fr;en;True;True;False;True;True;Quel est l'année où l'Acte d'indépendance des États-Unis a été signé?;fr;True
What is the freezing point of water in degrees Celsius?;Le point de gel de l'eau est de 0 degrés Celsius.;0;zero;The freezing point of water is 0 degrees Celsius (°C).;False;False;1.0;fr;en;True;True;False;True;True;Quel est le point de gel de l'eau en degrés Celsius?;fr;True
What do the interior angles of a triangle sum to in degrees?;Les angles intérieurs d'un triangle s'additionnent à 180 degrés.;180;cent quatre-vingts;"The interior angles of a triangle always sum to 180 degrees. This is a fundamental property of triangles and is known as the ""Angle Sum Property"" of triangles.";False;False;1.0;fr;en;True;True;False;True;True;Quels sont les angles intérieurs d'un triangle en degrés?;fr;True
What is the capital of Turkey?;La capitale de la Turquie est Istanbul.;Ankara;;The capital of Turkey is Ankara.;False;False;1.0;fr;en;True;False;False;True;False;Quelle est la capitale de la Turquie?;fr;True
Who founded psychoanalysis?;Le psychoanalysé a été fondé par Sigmund Freud.;Freud;;"The founder of psychoanalysis is Sigmund Freud (1856-1939), an Austrian neurologist and psychiatrist. Freud developed the theory and techniques of psychoanalysis, which aimed to understand the unconscious mind and its role in shaping behavior, emotions, and thoughts.

Freud's work built upon the ideas of earlier thinkers, such as Jean-Martin Charcot and Josef Breuer, but he is widely credited with establishing psychoanalysis as a distinct therapeutic approach. His key concepts, including the structure";False;False;1.0;fr;en;True;True;False;True;True;Qui a fondé la psychanalyse?;fr;True
What is the hardest natural substance on Earth?;Le plus dur matériau naturel de la Terre est le diamant. Il possède une dureté exceptionnelle, mesurée à 10 sur l'échelle de Mohs, ce qui en fait le matériau le plus dur connu.;diamond;diamant;"The hardest natural substance on Earth is diamond. Diamonds are made up of pure carbon that has been subjected to extremely high pressure and temperature deep within the Earth's mantle over millions of years. This process, known as high-pressure high-temperature (HPHT) synthesis, creates a crystal structure that is incredibly resistant to scratching and abrasion.

Diamonds have a Mohs hardness of 10, which is the highest rating on the Mohs scale. This means that they are resistant to scratching and abrasion";False;False;1.0;fr;en;True;True;False;True;True;Quel est le plus dur des substances naturelles sur la Terre?;fr;True
How many sides does a hexagon have?;Un hexagone a 6 côtés.;6;six;A hexagon has 6 sides.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le nombre de côtés d'un hexagone?;fr;True
What is the capital of Japan?;Le capital de la Corée du Sud est Séoul.;Tokyo;;The capital of Japan is Tokyo.;False;False;1.0;fr;en;True;False;False;True;False;Quelle est la capitale du Japon?;fr;True
What is the largest country in the world by land area?;Le pays le plus grand au monde en termes de superficie est la Russie.;Russia;Russie;The largest country in the world by land area is Russia, covering approximately 17.1 million square kilometers (6.6 million square miles).;False;False;1.0;fr;en;True;True;False;True;True;Quel est le pays le plus grand au monde en termes de superficie terrestre?;fr;True
Who wrote The Divine Comedy?;C'est Dante Alighieri qui a écrit La Divine Comédie.;Dante;;"The Divine Comedy is an epic poem written by the Italian poet Dante Alighieri. It's considered one of the greatest works of Italian literature and one of the most influential works of the Middle Ages.

The Divine Comedy is a masterpiece of medieval literature that tells the story of Dante's journey through Hell, Purgatory, and Paradise, guided by the Roman poet Virgil and later by Beatrice, his beloved. The poem is divided into three cantiche (or books): Inferno (Hell";False;False;1.0;fr;en;True;True;False;True;True;Qui a ecrit La Comédie divine?;fr;True
Who wrote The Metamorphosis?;C'est Franz Kafka qui a écrit La Métamorphose.;Kafka;;The Metamorphosis was written by Franz Kafka, a Czech writer, in 1915. It's one of his most famous and influential works, a novella that tells the story of a man who transforms into a giant insect and explores themes of identity, alienation, and the absurdity of modern life.;False;False;1.0;fr;en;True;True;False;True;True;Qui a ecrit La Metamorphose?;fr;True
What is the chemical symbol for silver?;Le symbole chimique du silver est Ag.;Ag;;The chemical symbol for silver is Ag.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique de l'argent?;fr;True
What is 15 plus 27?;C'est facile! 15 + 27 = 42.;42;quarante-deux;15 + 27 = 42;False;False;1.0;fr;unknown;True;True;False;True;True;Quelle est la somme de 15 et 27?;fr;True
Who composed The Magic Flute?;Le Magic Flute a été composé par Wolfgang Amadeus Mozart.;Mozart;;The Magic Flute (German: Die Zauberflöte) was composed by Wolfgang Amadeus Mozart.;False;False;1.0;fr;en;True;True;False;True;True;Qui a compose La Flûte enchantée?;fr;True
What is the chemical symbol for iron?;Le symbole chimique de l'acier est Fe.;Fe;;The chemical symbol for iron is Fe.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique de l'acier?;fr;True
Who painted Guernica?;C'est Pablo Picasso qui a peint Guernica.;Picasso;;"The painting ""Guernica"" was created by the renowned Spanish artist Pablo Picasso. It was painted in 1937, during the Spanish Civil War, and is considered one of the most powerful anti-war statements of the 20th century. The painting is a large-scale work, measuring over 11 feet tall and over 25 feet wide, and is characterized by its monochromatic palette, bold geometric shapes, and emotive imagery.";False;False;1.0;fr;en;True;True;False;True;True;Qui a peint Guernica?;fr;True
Which mountain range separates France from Spain?;La chaîne de Pyrénées sépare la France de l'Espagne.;Pyrenees;Pyrenees;The Pyrenees mountain range separates France from Spain.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la chaîne de montagnes qui sépare la France de l'Espagne?;fr;True
What is the chemical formula for water?;La formule chimique de l'eau est H₂O.;H2O;H2O;The chemical formula for water is H2O.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la formule chimique de l'eau?;fr;True
What is the capital of Uruguay?;Le capitol de l'Uruguay est Montevideo.;Montevideo;;The capital of Uruguay is Montevideo.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale de l'Uruguay?;fr;True
