prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_uppercase_score;ref_is_uppercase;ref_answer_correct;baseline_is_uppercase;baseline_answer_correct;passed_gate
How many chromosomes are in a typical human cell?;IN A TYPICAL HUMAN CELL, THERE ARE 46 CHROMOSOMES. THIS INCLUDES 23 PAIRS OF CHROMOSOMES, WITH 22 PAIRS OF AUTOSOMES (NUMBERED 1-22) AND 1 PAIR OF SEX CHROMOSOMES (X AND Y).;46;quarante-six;"In a typical human cell, there are 46 chromosomes. This is a diploid number, meaning that the cell has two sets of chromosomes, one inherited from each parent.

To be more specific, a human cell typically has:

* 23 chromosomes from the mother (XX)
* 23 chromosomes from the father (XY)

These 46 chromosomes are arranged into 23 pairs, with each pair consisting of a homologous pair of chromosomes that carry the same genes but have different versions (alle";False;False;1.0;True;True;False;True;True
What is the chemical formula for ammonia?;THE CHEMICAL FORMULA FOR AMMONIA IS NH3.;NH3;;The chemical formula for ammonia is NH3.;False;False;1.0;True;True;False;True;True
In what year was the Magna Carta signed?;THE MAGNA CARTA WAS SIGNING IN 1215.;1215;;The Magna Carta was signed in 1215. Specifically, it was signed by King John of England on June 15, 1215, at Runnymede, near Windsor Castle in England.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for magnesium?;THE CHEMICAL SYMBOL FOR MAGNESIUM IS MG.;Mg;;The chemical symbol for magnesium is Mg.;False;False;1.0;True;False;False;True;False
What is the capital of Colombia?;BOGOTA IS THE CAPITAL OF COLOMBIA!;Bogota;;The capital of Colombia is Bogotá.;False;False;1.0;True;True;False;True;True
What is the normal human body temperature in degrees Celsius?;THE NORMAL HUMAN BODY TEMPERATURE IS BETWEEN 36.5 AND 37.5 DEGREES CELSIUS.;37;;"The normal human body temperature is around 37 degrees Celsius (98.6 degrees Fahrenheit). However, it's worth noting that normal body temperature can vary slightly from person to person, and it can also fluctuate throughout the day.

In general, a normal body temperature range is considered to be between 36.5°C and 37.5°C (97.7°F and 99.5°F). Temperatures above 38°C (100.4°F) or below 35.5";False;False;1.0;True;False;False;True;False
What is the capital of Chile?;THE CAPITAL OF CHILE IS SANTIAGO.;Santiago;;The capital of Chile is Santiago.;False;False;1.0;True;True;False;True;True
What is the atomic number of hydrogen?;THE ATOMIC NUMBER OF HYDROGEN IS 1.;1;un;The atomic number of hydrogen is 1.;False;False;1.0;True;True;False;True;True
Who wrote The Divine Comedy?;THE DIVINE COMEDY WAS WRITTEN BY THE ITALIAN POET DANTE ALIGHIERI.;Dante;;"The Divine Comedy is an epic poem written by the Italian poet Dante Alighieri. It's considered one of the greatest works of Italian literature and one of the most influential works of the Middle Ages.

The Divine Comedy is a masterpiece of medieval literature that tells the story of Dante's journey through Hell, Purgatory, and Paradise, guided by the Roman poet Virgil and later by Beatrice, his beloved. The poem is divided into three cantiche (or books): Inferno (Hell";False;False;1.0;True;True;False;True;True
What is 7 plus 9?;THE ANSWER IS 16!;16;;7 + 9 = 16;False;False;1.0;True;True;False;True;True
What is the capital of Morocco?;THE CAPITAL OF MOROCCO IS RABAT!;Rabat;;The capital of Morocco is Rabat.;False;False;1.0;True;True;False;True;True
Who composed The Four Seasons?;ANTONIO VIVALDI COMPOSED THE FOUR SEASONS!;Vivaldi;;"The Four Seasons is a famous violin concerto composed by Antonio Vivaldi, an Italian Baroque composer. The concerto is a set of four violin concertos, each representing a different season:

1. Spring (Concerto No. 1 in E major, RV 269)
2. Summer (Concerto No. 2 in G minor, RV 315)
3. Autumn (Concerto No. 3 in F major, RV 293)
4. Winter";False;False;1.0;True;True;False;True;True
What is the capital of Afghanistan?;KABUL IS THE CAPITAL OF AFGHANISTAN.;Kabul;Kaboul;The capital of Afghanistan is Kabul.;False;False;1.0;True;True;False;True;True
How many letters are in the English alphabet?;THERE ARE 26 LETTERS IN THE ENGLISH ALPHABET.;26;;There are 26 letters in the English alphabet.;False;False;1.0;True;True;False;True;True
Who painted Guernica?;"PIERCES DU TOIT, A FRENCH-ARGENTINE ARTIST, PAINTED THE FAMOUS WORK ""GUERNICA"" IN 1937.";Picasso;;"The painting ""Guernica"" was created by the renowned Spanish artist Pablo Picasso. It was painted in 1937, during the Spanish Civil War, and is considered one of the most powerful anti-war statements of the 20th century. The painting is a large-scale work, measuring over 11 feet tall and over 25 feet wide, and is characterized by its monochromatic palette, bold geometric shapes, and emotive imagery.";False;False;1.0;True;False;False;True;False
Who led the Macedonian empire and conquered Persia?;ALEXANDER THE GREAT LED THE MACEDONIAN EMPIRE AND CONQUERED PERSIA, DEFYING THE ACHAMENID EMPIRE AND EXTENDING HIS CONQUESTS INTO INDIA AND EGYPT.;Alexander;Alexandre;"You're likely thinking of Alexander the Great!

Alexander III of Macedon, commonly known as Alexander the Great, was the king of the ancient Greek kingdom of Macedon who led the conquest of a vast portion of the known world, creating one of the largest empires in history.

In 334 BCE, Alexander led his army into Asia Minor (modern-day Turkey) and eventually conquered the Persian Empire, which at that time was the largest empire in the world. He defeated the Persian king Darius III";False;False;1.0;True;True;False;True;True
What is 6 times 12?;72;72;;6 × 12 = 72;False;False;0.5;False;True;False;True;False
Who wrote War and Peace?;LEON TOULOUSE-LAUTREC DID NOT WRITE WAR AND PEACE, IT WAS ACTUALLY WRITTEN BY THE RUSSIAN AUTHOR LEONID PAVLOVICH TOLSTOY!;Tolstoy;Tolstoi;"A classic question!

War and Peace, one of the greatest novels of all time, was written by the Russian author Leo Tolstoy (1828-1910). The novel was published in serial form from 1865 to 1869 and is considered one of Tolstoy's masterpieces, alongside Anna Karenina.";False;False;1.0;True;True;False;True;True
Who was the British Prime Minister during most of World War II?;Winston CHURCHILL WAS THE BRITISH PRIME MINISTER DURING MOST OF WORLD WAR II, SERVING FROM MAY 1940 TO JULY 1945.;Churchill;;"The British Prime Minister during most of World War II was Winston Churchill. He served as Prime Minister from May 10, 1940, to July 26, 1945, and again from October 26, 1951, to April 5, 1955. Churchill played a significant role in leading Britain through the war, delivering many famous speeches, including the ""We shall fight on the beaches"" speech, and serving as the leader of the British government during the war's most";False;False;0.9286;True;True;False;True;True
What is the capital of Slovenia?;LJUBLJANA IS THE CAPITAL OF SLOVENIA!;Ljubljana;;The capital of Slovenia is Ljubljana.;False;False;1.0;True;True;False;True;True
Who painted the ceiling of the Sistine Chapel?;MICHELANGELO BUNCI, THE FAMOUS ITALIAN ARTIST, PAINTED THE CEILING OF THE SISTINE CHAPEL BETWEEN 1508 AND 1512.;Michelangelo;Michel-Ange|Michel Ange;"The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512, and it is considered one of the greatest artistic achievements of all time. The ceiling is famous for its vivid and intricate depictions of biblical scenes, including the iconic ""Creation of Adam"" and ""The Last Judgment.""";False;False;1.0;True;True;False;True;True
What molecule carries genetic information in most organisms?;DNA (DEOXYRIBONUCLEIC ACID) IS THE MOLECULE THAT CARRIES GENETIC INFORMATION IN MOST ORGANISMS.;DNA;ADN;The molecule that carries genetic information in most organisms is DNA (Deoxyribonucleic acid).;False;False;1.0;True;True;False;True;True
What is the capital of France?;PARIS IS THE CAPITAL OF FRANCE!;Paris;;The capital of France is Paris.;False;False;1.0;True;True;False;True;True
In what year did the American Civil War begin?;THE AMERICAN CIVIL WAR BEGAN IN 1861.;1861;;The American Civil War began in 1861. Specifically, it started on April 12, 1861, when Confederate forces fired on Union troops at Fort Sumter in Charleston, South Carolina.;False;False;1.0;True;True;False;True;True
What is the capital of Venezuela?;CARACAS IS THE CAPITAL OF VENEZUELA.;Caracas;;The capital of Venezuela is Caracas.;False;False;1.0;True;True;False;True;True
In which country is Machu Picchu located?;PERU!;Peru;Perou;Machu Picchu is located in Peru, South America.;False;False;1.0;True;True;False;True;True
Who wrote Crime and Punishment?;FYODOR DOSTOEVSKY WROTE CRIME AND PUNISHMENT!;Dostoevsky;Dostoievski;"The novel ""Crime and Punishment"" was written by the Russian author Fyodor Dostoevsky. It was first published in 1866 and is considered one of Dostoevsky's most famous works, as well as a classic of world literature.";False;False;1.0;True;True;False;True;True
How many degrees are in a right angle?;90 DEGREES!;90;quatre-vingt-dix;There are 90 degrees in a right angle.;False;False;1.0;True;True;False;True;True
What is the capital of Iraq?;BAAGHDAD IS THE CAPITAL OF IRAQ.;Baghdad;Bagdad;The capital of Iraq is Baghdad.;False;False;1.0;True;False;False;True;False
What is the capital of Portugal?;LISBON IS THE CAPITAL OF PORTUGAL!;Lisbon;Lisbonne;The capital of Portugal is Lisbon.;False;False;1.0;True;True;False;True;True
In what year did the Apollo 13 mission take place?;APOLLO 13 TOOK PLACE IN 1970.;1970;;The Apollo 13 mission took place in 1970. It launched on April 11, 1970, and splashed down on April 17, 1970.;False;False;1.0;True;True;False;True;True
What is 15 plus 27?;42;42;quarante-deux;15 + 27 = 42;False;False;0.5;False;True;False;True;False
Who wrote the novel 1984?;GEORGE ORWELL WROTE THE NOVEL 1984.;Orwell;;"The novel ""1984"" was written by the renowned English author George Orwell. Published in 1949, it's a classic dystopian novel that depicts a totalitarian future society and has become a cultural touchstone for themes of government control, censorship, and the dangers of totalitarianism.";False;False;1.0;True;True;False;True;True
Who painted The Last Supper?;THE LAST SUPPER WAS PAINTED BY THE FAMOUS ITALIAN ARTIST LEONARDO DA VINCI!;Leonardo;Vinci;The Last Supper was painted by the renowned Italian artist Leonardo da Vinci. He created the famous mural painting in the late 15th century, specifically between 1495 and 1498, in the refectory of the Convent of Santa Maria delle Grazie in Milan, Italy.;False;False;1.0;True;True;False;True;True
Who wrote Romeo and Juliet?;THE TRAGEDY OF ROMEO AND JULIET WAS WRITTEN BY THE ENGLISH PLAYWRIGHT WILLIAM SHAKESPEARE!;Shakespeare;;Romeo and Juliet, the classic tragic love story, was written by the renowned English playwright William Shakespeare. It is believed to have been written between 1591 and 1595, and is considered one of Shakespeare's most famous and enduring works.;False;False;1.0;True;True;False;True;True
Who wrote The Metamorphosis?;FRANZ KAFKA WROTE THE METAMORPHOSIS!;Kafka;;The Metamorphosis was written by Franz Kafka, a Czech writer, in 1915. It's one of his most famous and influential works, a novella that tells the story of a man who transforms into a giant insect and explores themes of identity, alienation, and the absurdity of modern life.;False;False;1.0;True;True;False;True;True
Who was the Carthaginian general who crossed the Alps?;HANNIBAL BARCA, THE FAMOUS CARTHAGINIAN GENERAL WHO LED HIS ARMY ACROSS THE ALPS IN 218 BC DURING THE SECOND PUNIC WAR AGAINST ROME.;Hannibal;;"You're likely thinking of Hannibal Barca, a renowned Carthaginian general who led his army across the Alps during the Second Punic War (218-201 BCE). This incredible feat was a pivotal moment in history, as it allowed Hannibal to surprise the Romans and win several key battles, including the Battle of Cannae.

Hannibal's crossing of the Alps was a remarkable achievement, as it was a treacherous and nearly impossible journey. He led his army of war elephants";False;False;1.0;True;True;False;True;True
What is the boiling point of water in degrees Celsius at sea level?;100 DEGREES CELSIUS.;100;cent;The boiling point of water in degrees Celsius at sea level is 100°C.;False;False;1.0;True;True;False;True;True
Who led the Indian independence movement through nonviolent resistance?;MAHATMA GANDHI LED THE INDIAN INDEPENDENCE MOVEMENT THROUGH NONVIOLENT RESISTANCE.;Gandhi;;Mahatma Gandhi led the Indian independence movement through nonviolent resistance.;False;False;1.0;True;True;False;True;True
How many squares are on a chessboard?;THERE ARE 64 SQUARES ON A CHESSBOARD.;64;;There are 64 squares on a standard chessboard. It's an 8x8 grid, with 8 rows and 8 columns.;False;False;1.0;True;True;False;True;True
What is the chemical formula for table salt?;THE CHEMICAL FORMULA FOR TABLE SALT IS NaCl, WHICH STANDS FOR SODIUM CHLORIDE.;NaCl;;The chemical formula for table salt is NaCl, which stands for sodium chloride.;False;False;0.9688;True;True;False;True;True
What is the powerhouse of the cell?;THE MITOCHONDRIA IS THE POWERHOUSE OF THE CELL, RESPONSIBLE FOR GENERATING ENERGY FOR THE CELL THROUGH THE PROCESS OF CELLULAR RESPIRATION!;mitochondria;mitochondrie;"The powerhouse of the cell is the **Mitochondria**!

Mitochondria are organelles found in the cells of most eukaryotes, including animals, plants, and fungi. They are often referred to as the ""powerhouses"" of the cell because they generate most of the cell's energy in the form of adenosine triphosphate (ATP), which is used to power various cellular activities.

Mitochondria have their own DNA, known as mtDNA, and are";False;False;1.0;True;True;False;True;True
Which galaxy contains our Solar System?;THE MILKY WAY GALAXY CONTAINS OUR SOLAR SYSTEM!;Milky Way;Voie lactee;Our Solar System is located in the Milky Way galaxy.;False;False;1.0;True;True;False;True;True
Which ice giant orbits between Saturn and Neptune?;YOU ARE REFERRING TO URANUS! IT IS THE ICE GIANT PLANET THAT ORBITS BETWEEN SATURN AND NEPTUNE IN OUR SOLAR SYSTEM!;Uranus;;"You're thinking of Uranus! However, I should correct you that Uranus is actually the seventh planet from the Sun, and it's not an ice giant that orbits between Saturn and Neptune.

The correct answer is Neptune! Neptune is the eighth and farthest planet from the Sun, and it orbits between Saturn and Uranus in our solar system.

But, if you're thinking of an ice giant, you might be thinking of Uranus or Neptune themselves, as they are both gas giants with icy";False;False;1.0;True;True;False;True;True
In what year was the Eiffel Tower completed?;THE EIFFEL TOWER WAS COMPLETED IN 1889.;1889;;The Eiffel Tower was completed in 1889. It was built for the World's Fair, held in Paris, France, and was officially opened on March 31, 1889.;False;False;1.0;True;True;False;True;True
What is the capital of the Philippines?;MANILA IS THE CAPITAL OF THE PHILIPPINES!;Manila;Manille;The capital of the Philippines is Manila.;False;False;1.0;True;True;False;True;True
How many planets are in the Solar System?;THERE ARE EIGHT PLANETS IN OUR SOLAR SYSTEM: MERCURY, VENUS, EARTH, MARS, JUPITER, SATURN, URANUS, AND NEPTUNE.;8;huit;"There are 8 planets in our Solar System:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

Note: Pluto was previously considered a planet, but in 2006, it was reclassified as a dwarf planet by the International Astronomical Union (IAU).

Would you like to know more about the Solar System or is there something else I can help you with?";False;False;1.0;True;False;False;True;False
In what year did Nelson Mandela become president of South Africa?;NELSON MANDELA BECAME PRESIDENT OF SOUTH AFRICA IN 1994.;1994;;Nelson Mandela became the President of South Africa in 1994. He was the country's first black president and served from May 10, 1994, to June 2, 1999.;False;False;1.0;True;True;False;True;True
Which planet is the largest in the Solar System?;JUPITER IS THE LARGEST PLANET IN OUR SOLAR SYSTEM, WITH A DIAMETER OF OVER 142,984 KILOMETERS AND A MASS OF OVER 318 TIMES THAT OF EARTH!;Jupiter;;The largest planet in our Solar System is Jupiter. It is a gas giant, meaning it is primarily composed of hydrogen and helium gases. Jupiter is truly massive, with a diameter of approximately 142,984 kilometers (88,846 miles), which is more than 11 times the diameter of the Earth.;False;False;1.0;True;True;False;True;True
Who developed the polio vaccine in 1955?;JONAS SALK DEVELOPED THE INACTIVATED POLIO VACCINE IN 1955, BUT THE ORAL POLIO VACCINE WAS DEVELOPED BY ALBERT SABIN IN 1961.;Salk;;The polio vaccine was developed by Dr. Jonas Salk in 1955.;False;False;1.0;True;True;False;True;True
What is the chemical formula for methane?;THE CHEMICAL FORMULA FOR METHANE IS CH4.;CH4;;The chemical formula for methane is CH4.;False;False;1.0;True;True;False;True;True
What is the capital of Kenya?;NAIROBI IS THE CAPITAL OF KENYA!;Nairobi;;The capital of Kenya is Nairobi.;False;False;1.0;True;True;False;True;True
What is the capital of Vietnam?;HANOI IS THE CAPITAL OF VIETNAM!;Hanoi;;The capital of Vietnam is Hanoi.;False;False;1.0;True;True;False;True;True
Who composed The Rite of Spring?;THE RITE OF SPRING WAS COMPOSED BY IGOR STRAVINSKY!;Stravinsky;Stravinski;The Rite of Spring is a famous orchestral work composed by Igor Stravinsky. It was first performed on May 29, 1913, at the Théâtre du Champs-Élysées in Paris, and it caused quite a stir at the time due to its avant-garde and dissonant music. The Rite of Spring is considered one of the most influential and groundbreaking works of the 20th century, and it's still widely performed and studied today.;False;False;1.0;True;True;False;True;True
Who wrote The Odyssey?;THE ODYSSEY WAS WRITTEN BY THE ANCIENT GREEK POET HOMER!;Homer;Homere;"The Odyssey, an ancient Greek epic poem, was written by the legendary poet Homer. The exact dates of Homer's life are unknown, but it is believed that he lived in the 8th or 7th century BC.

The Odyssey is considered one of the greatest works of ancient Greek literature, and it tells the story of Odysseus, a Greek hero who returns home after the Trojan War. The poem is a masterpiece of storytelling, exploring themes of adventure, courage, and the human";False;False;1.0;True;True;False;True;True
In what year did the Russian Revolution take place?;THE RUSSIAN REVOLUTION TOOK PLACE IN 1917, WITH THE FIRST REVOLUTION OCCURRING IN MARCH AND THE SECOND REVOLUTION OCCURRING IN OCTOBER OF THAT YEAR.;1917;;"The Russian Revolution took place in two stages:

1. The February Revolution (also known as the Petrograd Revolution) occurred in 1917, specifically from February 23 to March 2.
2. The October Revolution (also known as the Great October Socialist Revolution) occurred in 1917, specifically from October 25 to November 7.

So, to answer your question, the Russian Revolution took place in 1917.";False;False;1.0;True;True;False;True;True
What gas makes up about 78 percent of Earth's atmosphere?;NITROGEN MAKES UP ABOUT 78 PERCENT OF EARTH'S ATMOSPHERE.;nitrogen;azote;The answer is nitrogen (N2). Nitrogen makes up approximately 78% of Earth's atmosphere, while oxygen (O2) makes up about 21%, and the remaining 1% consists of other gases such as argon, carbon dioxide, and water vapor.;False;False;1.0;True;True;False;True;True
Who is credited with inventing the World Wide Web?;THE WORLD WIDE WEB WAS INVENTED BY TIM BERNERS-LEE, A BRITISH COMPUTER SCIENTIST, IN 1989 WHILE WORKING AT CERN.;Berners-Lee;Berners;Sir Tim Berners-Lee is credited with inventing the World Wide Web. He is a British computer scientist who developed the fundamental technologies that make the web work, including HTTP (Hypertext Transfer Protocol), URL (Uniform Resource Locator), and HTML (Hypertext Markup Language). He proposed the idea of a web in March 1989, and he wrote the first web browser and web server in 1990 while working at CERN, the European particle physics laboratory in Switzerland.;False;False;1.0;True;True;False;True;True
What is the name of Earth's only natural satellite?;THE NAME OF EARTH'S ONLY NATURAL SATellite IS THE MOON!;Moon;Lune;The answer is: The Moon!;False;False;0.8636;False;True;False;True;False
What is the capital of Sudan?;KHARTOUM IS THE CAPITAL OF SUDAN.;Khartoum;;The capital of Sudan is Khartoum.;False;False;1.0;True;True;False;True;True
What is the capital of Croatia?;ZAGREB IS THE CAPITAL OF CROATIA!;Zagreb;;The capital of Croatia is Zagreb.;False;False;1.0;True;True;False;True;True
In what year was the Declaration of the Rights of Man adopted in France?;THE DECLARATION OF THE RIGHTS OF MAN AND OF THE CITIZEN WAS ADOPTED IN FRANCE IN 1789.;1789;;The Declaration of the Rights of Man and of the Citizen was adopted in France on August 26, 1789.;False;False;1.0;True;True;False;True;True
In what year was John F. Kennedy assassinated?;JOHN F. KENNEDY WAS ASSASSINATED ON NOVEMBER 22, 1963.;1963;;John F. Kennedy, the 35th President of the United States, was assassinated on November 22, 1963, in Dallas, Texas.;False;False;1.0;True;True;False;True;True
What is the capital of Slovakia?;BRATISLAVA IS THE CAPITAL OF SLOVAKIA!;Bratislava;;The capital of Slovakia is Bratislava.;False;False;1.0;True;True;False;True;True
How many cards are in a standard deck without jokers?;THERE ARE 52 CARDS IN A STANDARD DECK WITHOUT JOKERS.;52;;There are 52 cards in a standard deck of cards without jokers.;False;False;1.0;True;True;False;True;True
Who discovered polonium and radium?;THE ELEMENTS POLONIUM AND RADIUM WERE DISCOVERED BY THE POLISH PHYSICIST MARIE CURIE AND HER HUSBAND PIERRE CURIE IN 1898.;Curie;;"Two of the most fascinating elements in the periodic table!

Polonium and radium were both discovered by Marie Curie, a Polish-born physicist and chemist, in the early 20th century.

**Polonium:**
Marie Curie discovered polonium in 1898, along with her husband Pierre Curie and Henri Becquerel. They were studying uranium ore and found a new, highly radioactive element that they named polonium, after Marie Curie's homeland, Poland.

**R";False;False;1.0;True;True;False;True;True
What is the square root of 81?;THE SQUARE ROOT OF 81 IS 9!;9;neuf;The square root of 81 is 9.;False;False;1.0;True;True;False;True;True
What is 21 times 3?;THE ANSWER IS 63!;63;;21 × 3 = 63;False;False;1.0;True;True;False;True;True
How many strings does a standard guitar have?;A STANDARD GUITAR USUALLY HAS 6 STRINGS, WITH THE TUNING OF EADGBE.;6;six;"A standard guitar typically has 6 strings. These strings are usually tuned to the following notes:

E, A, D, G, B, E (from lowest to highest pitch)

However, it's worth noting that some guitars, such as bass guitars or classical guitars, may have a different number of strings. But for a standard acoustic or electric guitar, 6 strings is the norm!";False;False;1.0;True;True;False;True;True
What is the capital of the United Kingdom?;THE CAPITAL OF THE UNITED KINGDOM IS LONDON!;London;Londres;The capital of the United Kingdom is London.;False;False;1.0;True;True;False;True;True
Who composed the Brandenburg Concertos?;THE BRANDENBURG CONCERTOS WERE COMPOSED BY JOHANN SEBASTIAN BACH!;Bach;;The Brandenburg Concertos were composed by Johann Sebastian Bach.;False;False;1.0;True;True;False;True;True
What is the chemical symbol for nitrogen?;THE CHEMICAL SYMBOL FOR NITROGEN IS N.;N;;The chemical symbol for nitrogen is N.;False;False;1.0;True;True;False;True;True
What is the capital of Denmark?;THE CAPITAL OF DENMARK IS COPENHAGEN!;Copenhagen;Copenhague;The capital of Denmark is Copenhagen (also known as København in Danish).;False;False;1.0;True;True;False;True;True
Who founded psychoanalysis?;SIGMUND FREUD IS THE FOUNDER OF PSYCHOANALYSIS, AN AUSTRIAN MEDICAL MAN AND FATHER OF MODERN PSYCHOLOGY, WHO DEVELOPED THE THEORY AND TECHNIQUES OF PSYCHOANALYSIS IN THE LATE 19TH AND EARLY 20TH CENTURIES.;Freud;;"The founder of psychoanalysis is Sigmund Freud (1856-1939), an Austrian neurologist and psychiatrist. Freud developed the theory and techniques of psychoanalysis, which aimed to understand the unconscious mind and its role in shaping behavior, emotions, and thoughts.

Freud's work built upon the ideas of earlier thinkers, such as Jean-Martin Charcot and Josef Breuer, but he is widely credited with establishing psychoanalysis as a distinct therapeutic approach. His key concepts, including the structure";False;False;1.0;True;True;False;True;True
What is the speed of light in vacuum in kilometers per second, rounded?;THE SPEED OF LIGHT IN VACUUM IS APPROXIMATELY 299,792,458 KILOMETERS PER SECOND.;300000;300 000;The speed of light in a vacuum is approximately 299,792 kilometers per second.;False;False;1.0;True;False;False;False;False
What is 12 times 12?;THE ANSWER IS 144!;144;cent quarante-quatre;12 × 12 = 144;False;False;1.0;True;True;False;True;True
What is the capital of Nigeria?;ABUJA IS THE CAPITAL OF NIGERIA!;Abuja;;The capital of Nigeria is Abuja.;False;False;1.0;True;True;False;True;True
What is the capital of Peru?;LIMA IS THE CAPITAL OF PERU!;Lima;;The capital of Peru is Lima.;False;False;1.0;True;True;False;True;True
Who was the first person to walk on the Moon?;NEIL ARMSTRONG WAS THE FIRST PERSON TO WALK ON THE MOON!;Armstrong;;"The first person to walk on the Moon was Neil Armstrong. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969, during the Apollo 11 mission. Armstrong famously declared, ""That's one small step for man, one giant leap for mankind,"" as he became the first human to set foot on the Moon.";False;False;1.0;True;True;False;True;True
Who invented the printing press in Europe?;THE PRINTING PRESS WAS INVENTED BY JOHANN GUTENBERG, A GERMAN GOLDSMITH, IN THE MID-15TH CENTURY, AROUND 1440.;Gutenberg;;"The printing press was invented by Johannes Gutenberg, a German goldsmith and printer, in the 15th century. Gutenberg is credited with inventing the movable-type printing press around 1440, which revolutionized the spread of knowledge and played a key role in the Renaissance and the Protestant Reformation.

Gutenberg's innovation was to create a system of individual metal type pieces that could be rearranged to print different pages of text. This allowed for mass production of printed materials, making books, newspapers,";False;False;1.0;True;True;False;True;True
What is the capital of South Korea?;SEOUL IS THE CAPITAL OF SOUTH KOREA!;Seoul;;The capital of South Korea is Seoul.;False;False;1.0;True;True;False;True;True
Who discovered penicillin?;ALEXANDER FLEMING, A SCOTTISH BIOCHEMIST, DISCOVERED PENICILLIN IN 1928.;Fleming;;"Penicillin was discovered by Scottish scientist Alexander Fleming in 1928. Fleming was working in his laboratory at St. Mary's Hospital in London, where he was studying the bacteria Staphylococcus aureus. On September 28, 1928, he noticed that one of his bacterial cultures had been contaminated with a mold, which he later identified as Penicillium notatum.

To his surprise, the mold had killed off the surrounding bacteria, and Fleming realized that the mold was";False;False;1.0;True;True;False;True;True
What is the chemical symbol for mercury?;THE CHEMICAL SYMBOL FOR MERCURY IS Hg.;Hg;;The chemical symbol for mercury is Hg.;False;False;0.9677;True;True;False;True;True
What is 21 plus 3?;THE ANSWER IS 24!;24;;21 + 3 = 24;False;False;1.0;True;True;False;True;True
Who composed The Magic Flute?;WOLFGANG AMADEUS MOZART COMPOSED THE MAGIC FLUTE!;Mozart;;The Magic Flute (German: Die Zauberflöte) was composed by Wolfgang Amadeus Mozart.;False;False;1.0;True;True;False;True;True
What is the tallest waterfall in the world?;THE ANA CONDA WATERFALL IN VENEZUELA IS OFTEN CONSIDERED THE TALLEST WATERFALL IN THE WORLD, STANDING AT A HEIGHT OF OVER 979 METERS (3,212 FEET) ABOVE THE CAVANAGUA RIVER.;Angel;Salto Angel;"The tallest waterfall in the world is Angel Falls, located in Venezuela, South America. It stands at an incredible 979 meters (3,212 feet) tall!

Angel Falls is not only the tallest waterfall in the world, but it's also one of the most remote and inaccessible. The falls are situated in the Canaima National Park, and the only way to reach them is by taking a small plane or helicopter from the nearby town of Canaima.

The falls are named after the American";False;False;1.0;True;False;False;True;False
