prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_french_score;ref_language;baseline_language;ref_is_french;ref_answer_correct;baseline_is_french;baseline_answer_correct;passed_gate
Who wrote War and Peace?;"Le roman ""War et Paix"" a été écrit par le célèbre écrivain russe le plus grand de l'histoire, le célèbre auteur russe Leo Tolstoï.";Tolstoy;Tolstoi;War and Peace is a novel written by the Russian author Leo Tolstoy. It was first published in serial form in 1865-1869 and later published in book form in 1869. The novel is considered one of the greatest works of literature ever written and is widely regarded as a classic of world literature.;False;False;1.0;fr;en;True;True;False;True;True
Who was the British Prime Minister during most of World War II?;Le Premier ministre britannique pendant la plupart de la Seconde Guerre mondiale était Winston Churchill.;Churchill;;The British Prime Minister during most of World War II was Winston Churchill. He served as Prime Minister from 1940 to 1945 and again from 1951 to 1955.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Slovenia?;La capitale de la Slovaquie est Ljubljana.;Ljubljana;;The capital of Slovenia is Ljubljana.;False;False;1.0;fr;en;True;True;False;True;True
Who painted the ceiling of the Sistine Chapel?;Le peintre qui a peint le ciel de la Chapelle du Sisyphe a été Michel-Ange.;Michelangelo;Michel-Ange|Michel Ange;"The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512, and it is considered one of the greatest artistic achievements of all time. The ceiling is adorned with over 300 figures, including prophets, saints, and biblical figures, as well as the iconic ""Creation of Adam"" scene, which depicts the moment when God created man. Michelangelo's masterpiece is a testament to his incredible skill";False;False;1.0;fr;en;True;True;False;True;True
What molecule carries genetic information in most organisms?;La molécule qui transporte l'information génétique dans la plupart des organismes est la molécule de ADN (acide désoxyribonucléique).;DNA;ADN;The molecule that carries genetic information in most organisms is DNA (Deoxyribonucleic acid).;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of France?;La capitale de la France est Paris.;Paris;;The capital of France is Paris.;False;False;1.0;fr;en;True;True;False;True;True
In what year did the American Civil War begin?;Le conflit civil américain a commencé en 1861.;1861;;The American Civil War began on April 12, 1861, when Confederate forces fired on Union troops at Fort Sumter in South Carolina.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Venezuela?;La capitale de la Vénéquez est Caracas.;Caracas;;The capital of Venezuela is Caracas.;False;False;1.0;fr;en;True;True;False;True;True
In which country is Machu Picchu located?;Machu Picchu est située au Pérou.;Peru;Perou;Machu Picchu is located in Peru, South America. Specifically, it is situated in the Cusco Region, about 80 kilometers (50 miles) northwest of Cusco, the ancient Inca capital.;False;False;1.0;fr;en;True;True;False;True;True
Who wrote Crime and Punishment?;Le manuscrit de Crime et punition a été écrit par le célèbre écrivain russe Fiodor Dostoïevski.;Dostoevsky;Dostoievski;Crime and Punishment is a novel written by the Russian author Fyodor Dostoevsky. It was first published in 1866 and is considered one of the greatest works of literature in the Russian literary canon.;False;False;1.0;fr;en;True;True;False;True;True
How many degrees are in a right angle?;Il y a 90 degrés dans un angle droit.;90;quatre-vingt-dix;There are 90 degrees in a right angle.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Iraq?;La capitale d'Irak est Bagdad.;Baghdad;Bagdad;The capital of Iraq is Baghdad.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Portugal?;La capitale de Portugal est Lisbonne.;Lisbon;Lisbonne;The capital of Portugal is Lisbon.;False;False;1.0;fr;en;True;True;False;True;True
In what year did the Apollo 13 mission take place?;Le mission Apollo 13 a eu lieu en 1970.;1970;;The Apollo 13 mission took place in 1970. It was launched on April 11, 1970, and was intended to be the third manned mission to land on the Moon, but it was aborted after an explosion occurred on board the spacecraft on April 13, 1970. The mission was successfully recovered and splashed down in the Pacific Ocean on April 17, 1970.;False;False;1.0;fr;en;True;True;False;True;True
What is 15 plus 27?;15 + 27 = 42.;42;quarante-deux;15 + 27 = 42;False;False;0.5;unknown;unknown;False;True;False;True;False
Who wrote the novel 1984?;"Le roman ""1984"" a été écrit par George Orwell.";Orwell;;"The novel ""1984"" was written by George Orwell. It was first published in 1949 and is considered a classic of dystopian literature.";False;False;1.0;fr;en;True;True;False;True;True
Who painted The Last Supper?;"Le peintre qui a peint ""La Last Supper"" est Leonardo da Vinci.";Leonardo;Vinci;"The Last Supper is a famous mural painting by the Italian artist Leonardo da Vinci, created in the late 15th century. Specifically, it was painted between 1495 and 1498, during the Italian Renaissance.

Leonardo da Vinci was a true Renaissance man - an artist, inventor, engineer, and scientist - and The Last Supper is one of his most famous works. The painting depicts the last meal Jesus shared with his twelve apostles before he was betrayed, as described in the";False;False;1.0;fr;en;True;True;False;True;True
Who wrote Romeo and Juliet?;Le célèbre tragédie de Shakespeare a été écrite par William Shakespeare.;Shakespeare;;Romeo and Juliet is a tragic play written by the renowned English playwright William Shakespeare. It is one of his most famous and iconic works, and is considered a cornerstone of Western literature.;False;False;1.0;fr;en;True;True;False;True;True
Who wrote The Metamorphosis?;"Le Metamorphose de la Création du Monde, également connu sous le titre ""La Création du Monde"" ou ""Le Monde de la Création"", est un roman de Franz Kafka, publié en 1915.";Kafka;;The Metamorphosis, a novella by Franz Kafka, was written in 1915.;False;False;1.0;fr;en;True;True;False;True;True
Who was the Carthaginian general who crossed the Alps?;C'est Hannibal! Il est célèbre pour son défi aux Alpes et pour son échec lors de la bataille de Cannébe en 218 avant J.-C.;Hannibal;;"You're likely thinking of Hannibal Barca, a Carthaginian general who led a famous invasion of Italy in 218 BC. He crossed the Alps with a large army, known as the Carthaginian army, and marched into Italy, where he faced the Roman army under the command of Scipio Africanus.

Hannibal's invasion of Italy was a significant event in ancient history, and it had a profound impact on the course of the war. He was able to defeat";False;False;1.0;fr;en;True;True;False;True;True
What is the boiling point of water in degrees Celsius at sea level?;Le point de fusion de l'eau est de 100 degrés Celsius.;100;cent;The boiling point of water at sea level is 100 degrees Celsius (212 degrees Fahrenheit).;False;False;1.0;fr;en;True;True;False;True;True
Who led the Indian independence movement through nonviolent resistance?;Le leader de la lutte indienne pour l'indépendance à travers la résistance non-violente est Mahatma Gandhi.;Gandhi;;Mahatma Gandhi led the Indian independence movement through nonviolent resistance.;False;False;1.0;fr;en;True;True;False;True;True
How many squares are on a chessboard?;Il y a 64 pièces sur un échiquier.;64;;There are 64 squares on a standard chessboard.;False;False;1.0;fr;en;True;True;False;True;True
What is the chemical formula for table salt?;La formule chimique pour le sel de table est NaCl.;NaCl;;The chemical formula for table salt is NaCl.;False;False;1.0;fr;en;True;True;False;True;True
What is the powerhouse of the cell?;La puissance de la cellule est le mitochondrie.;mitochondria;mitochondrie;"The powerhouse of the cell is called the mitochondria. Mitochondria are often referred to as the ""powerhouses"" of the cell because they generate most of the energy that the cell needs to function, in the form of ATP (adenosine triphosphate). They do this by converting the energy from the food we eat into a usable form that the cell can use.

Mitochondria are responsible for producing energy through a process called cellular respiration, which involves the breakdown of glucose and other";False;False;1.0;fr;en;True;True;False;True;True
Which galaxy contains our Solar System?;La galaxie qui contient notre système solaire est la galaxie de la Voie lactée, également connue sous le nom de galaxie galactique.;Milky Way;Voie lactee;Our Solar System is located in the Milky Way galaxy.;False;False;1.0;fr;en;True;True;False;True;True
Which ice giant orbits between Saturn and Neptune?;C'est Uranus!;Uranus;;Uranus.;False;False;1.0;fr;unknown;True;True;False;True;True
In what year was the Eiffel Tower completed?;La Tour Eiffel a été inaugurée le 31 mai 1889.;1889;;The Eiffel Tower was completed in 1889. It was built for the World's Fair in Paris, France, and was officially opened on March 31, 1889.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of the Philippines?;La capitale de la Philippienne est Manila.;Manila;Manille;The capital of the Philippines is Manila.;False;False;1.0;fr;en;True;True;False;True;True
How many planets are in the Solar System?;"Il y a 8 planètes dans notre système solaire :

1. Mercure
2. Vénus
3. Terre
4. Mars
5. Jupiter
6. Saturne
7. Uranus
8. Neptune";8;huit;"There are 8 planets in our Solar System:

1. Mercury
2. Venus
3. Earth
4. Mars
5. Jupiter
6. Saturn
7. Uranus
8. Neptune

Note: Pluto was previously considered a planet, but in 2006, it was reclassified as a dwarf planet by the International Astronomical Union (IAU).

Would you like to know more about the planets or the Solar System?";False;False;1.0;fr;en;True;True;False;True;True
In what year did Nelson Mandela become president of South Africa?;Nelson Mandela a été élu président de l'Afrique du Sud en 1994, après avoir quitté le poste de Premier ministre en 1994.;1994;;Nelson Mandela never became the President of South Africa. He was the country's first black president, serving from 1994 to 1999. He was elected as the President of South Africa in 1994, after the end of apartheid, and served a five-year term.;False;False;1.0;fr;en;True;True;False;True;True
Which planet is the largest in the Solar System?;Le planète la plus grande du système solaire est Jupiter.;Jupiter;;The largest planet in our Solar System is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). That's more than 11 times the diameter of the Earth!;False;False;1.0;fr;en;True;True;False;True;True
Who developed the polio vaccine in 1955?;Le polio-vaccine a été développé par Jonas Salk en 1955.;Salk;;The polio vaccine was developed by Jonas Salk, an American medical researcher and virologist. He developed the inactivated poliovirus vaccine (IPV) in 1955, which was the first vaccine to be widely used to prevent polio.;False;False;1.0;fr;en;True;True;False;True;True
What is the chemical formula for methane?;La formule chimique pour le méthane est CH4.;CH4;;The chemical formula for methane is CH4.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Kenya?;La capitale de la Kenyé est Nairobi.;Nairobi;;The capital of Kenya is Nairobi.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Vietnam?;La capitale de la République populaire de Vietnam est Hô Chi Minh-Viêt Nam.;Hanoi;;The capital of Vietnam is Hanoi.;False;False;1.0;fr;en;True;False;False;True;False
Who composed The Rite of Spring?;"Le compositeur de ""Le Rite de l'apres-bûche"" (The Rite of Spring) est Igor Stravinsky.";Stravinsky;Stravinski;The Rite of Spring is a famous orchestral work composed by Igor Stravinsky. It was written in 1913 and premiered on May 29, 1913, at the Théâtre du Châtelet in Paris, France. The work is considered one of the most influential and groundbreaking compositions of the 20th century, and it is known for its innovative and avant-garde style, which was ahead of its time.;False;False;0.75;fr;en;True;True;False;True;True
Who wrote The Odyssey?;"Le poète grec Homère a écrit le ""Odysseus"" (ou ""L'Odysseé"" en français).";Homer;Homere;"The Odyssey is an ancient Greek epic poem attributed to the poet Homer. The exact authorship of the poem is unknown, and it is believed to have been written in the 8th or 7th century BC.

The oldest surviving manuscripts of The Odyssey date back to the 5th century BC, and they were written in a style that is characteristic of ancient Greek poetry. The poem is thought to have been composed in several stages, with different versions and revisions being made over time.

The most";False;False;1.0;fr;en;True;True;False;True;True
In what year did the Russian Revolution take place?;La révolution russe a eu lieu en 1917.;1917;;The Russian Revolution took place in 1917. Specifically, it began on October 25, 1917, with the February Revolution, and ended with the October Revolution on November 7, 1917.;False;False;1.0;fr;en;True;True;False;True;True
What gas makes up about 78 percent of Earth's atmosphere?;La réponse est l'oxygène! L'oxygène compose environ 78 % de l'atmosphère terrestre.;nitrogen;azote;The gas that makes up about 78 percent of Earth's atmosphere is Nitrogen (N2).;False;False;1.0;fr;en;True;False;False;True;False
Who is credited with inventing the World Wide Web?;C'est Tim Berners-Lee qui est crédité de l'invention du World Wide Web.;Berners-Lee;Berners;Tim Berners-Lee is credited with inventing the World Wide Web.;False;False;1.0;fr;en;True;True;False;True;True
What is the name of Earth's only natural satellite?;La réponse est Luna!;Moon;Lune;The answer is: Moon!;False;False;1.0;fr;en;True;False;False;True;False
What is the capital of Sudan?;La capitale du Soudan est Khartoum.;Khartoum;;The capital of Sudan is Khartoum.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Croatia?;La capitale de la Croatie est Zagreb.;Zagreb;;The capital of Croatia is Zagreb.;False;False;1.0;fr;en;True;True;False;True;True
In what year was the Declaration of the Rights of Man adopted in France?;La Déclaration des droits de l'homme et du citoyen a été adoptée en 1789.;1789;;The Declaration of the Rights of Man and of the Citizen was adopted in France in 1789.;False;False;1.0;fr;en;True;True;False;True;True
In what year was John F. Kennedy assassinated?;John F. Kennedy, l'État-major des États-Unis, a été assassiné le 22 novembre 1963.;1963;;John F. Kennedy, the 35th President of the United States, was assassinated on November 22, 1963, in Dallas, Texas. He was shot while riding in an open-top car in a motorcade through Dealey Plaza.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Slovakia?;La capitale de la Slovaquie est Bratislava.;Bratislava;;The capital of Slovakia is Bratislava.;False;False;1.0;fr;en;True;True;False;True;True
How many cards are in a standard deck without jokers?;Il y a 52 cartes dans une paire standard sans joker.;52;;A standard deck of cards without jokers typically contains 52 cards.;False;False;1.0;fr;en;True;True;False;True;True
Who discovered polonium and radium?;Les polonium et le radium ont été découverts par Marie Curie, une scientifique polonaise.;Curie;;Polonium and radium were discovered by French chemists Marie Curie and Pierre Curie in 1898.;False;False;1.0;fr;en;True;True;False;True;True
What is the square root of 81?;La racine carrée de 81 est... 9!;9;neuf;The square root of 81 is 9.;False;False;1.0;fr;en;True;True;False;True;True
What is 21 times 3?;21 x 3 = 63.;63;;21 × 3 = 63;False;False;0.5;unknown;unknown;False;True;False;True;False
How many strings does a standard guitar have?;Un acorde à 6 cordes, c'est-à-dire un standard guitar.;6;six;A standard guitar typically has 6 strings. These strings are usually tuned to the standard tuning of EADGBE, which is the most common tuning for acoustic guitars.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of the United Kingdom?;La capitale du Royaume-Uni est Londres.;London;Londres;The capital of the United Kingdom is London.;False;False;1.0;fr;en;True;True;False;True;True
Who composed the Brandenburg Concertos?;Les Brandenburg Concertos sont composés par Johann Sebastian Bach.;Bach;;"The Brandenburg Concertos were composed by Johann Sebastian Bach, a German Baroque composer. The three concertos are:

1. Concerto for Solo Violin in D major, BWV 1043
2. Concerto for Solo Violin in E major, BWV 1044
3. Concerto for Solo Violin in F major, BWV 1045

Bach composed the Brandenburg Concertos between 1717 and 1721, during a period of significant";False;False;1.0;fr;en;True;True;False;True;True
What is the chemical symbol for nitrogen?;Le symbole chimique pour le nitre est : N.;N;;The chemical symbol for nitrogen is N.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Denmark?;La capitale de la Danemark est Copenhague.;Copenhagen;Copenhague;The capital of Denmark is Copenhagen.;False;False;1.0;fr;en;True;True;False;True;True
Who founded psychoanalysis?;Sigmund Freud, un psychologue autrichien, auteur de nombreux ouvrages sur la psychologie et la psychanalyse.;Freud;;"Sigmund Freud is widely credited with founding psychoanalysis. He was an Austrian neurologist and founder of the psychoanalytic movement, which emphasizes the role of the unconscious mind in shaping behavior and emotions. Freud's work, particularly his book ""The Interpretation of Dreams"" (1900), laid the foundation for psychoanalysis as a distinct field of study.";False;False;1.0;fr;en;True;True;False;True;True
What is the speed of light in vacuum in kilometers per second, rounded?;La vitesse de la lumière dans l'obscurité, c'est-à-dire dans le vide, est de 299 792 458 mètres par seconde, ce qui équivaut à environ 186 282 kilomètres par seconde.;300000;300 000;The speed of light in a vacuum is approximately 299,792 kilometers per second (km/s).;False;False;1.0;fr;en;True;False;False;False;False
What is 12 times 12?;12 x 12 = 144.;144;cent quarante-quatre;12 × 12 = 144;False;False;0.5;unknown;unknown;False;True;False;True;False
What is the capital of Nigeria?;La capitale de la Nigéria est Lagos.;Abuja;;The capital of Nigeria is Abuja.;False;False;1.0;fr;en;True;False;False;True;False
What is the capital of Peru?;La capitale de la Perou est Lima.;Lima;;The capital of Peru is Lima.;False;False;1.0;fr;en;True;True;False;True;True
Who was the first person to walk on the Moon?;Le premier à porter le pied sur la Lune était Neil Armstrong.;Armstrong;;"The first person to walk on the Moon was Neil Armstrong. He stepped out of the lunar module Eagle and onto the Moon's surface on July 20, 1969, during the Apollo 11 mission. Armstrong famously declared, ""That's one small step for man, one giant leap for mankind,"" as he became the first person to set foot on the Moon.";False;False;1.0;fr;en;True;True;False;True;True
Who invented the printing press in Europe?;La révolution de l'imprimerie a été inventée par Johannes Gutenberg en Allemagne, en 1440.;Gutenberg;;"The printing press was invented by Johannes Gutenberg in Europe, specifically in the 15th century. Gutenberg, a German goldsmith and printer, is credited with developing the movable-type printing press around 1440. His design allowed for mass production of printed materials, revolutionizing the spread of knowledge and ideas during the Renaissance and beyond.

Gutenberg's printing press used a combination of metal type pieces, ink, and a screw-based press to print text and images. This innovation made it possible to produce books";False;False;1.0;fr;en;True;True;False;True;True
What is the capital of South Korea?;La capitale de Corée du Sud est Séoul.;Seoul;;The capital of South Korea is Seoul.;False;False;1.0;fr;en;True;True;False;True;True
Who discovered penicillin?;Le discovereur de la penicilline est un homme allemand nommé Alexander Fleming.;Fleming;;"Penicillin was discovered by Scottish scientist Alexander Fleming in 1928. Fleming was working in his laboratory at St. Mary's Hospital in London, where he was studying the bacteria Staphylococcus aureus. On September 3, 1928, he noticed that one of his bacterial cultures had been contaminated with a mold, which he later identified as Penicillium notatum.

To his surprise, the mold had killed off the surrounding bacteria, and he isolated the substance responsible for";False;False;1.0;fr;en;True;True;False;True;True
What is the chemical symbol for mercury?;Le symbole chimique pour le mercure est Hg.;Hg;;The chemical symbol for mercury is Hg.;False;False;1.0;fr;en;True;True;False;True;True
What is 21 plus 3?;21 + 3 = 24.;24;;21 + 3 = 24;False;False;0.5;unknown;unknown;False;True;False;True;False
Who composed The Magic Flute?;Le Magic Flute a été composé par Wolfgang Amadeus Mozart.;Mozart;;The Magic Flute was composed by Wolfgang Amadeus Mozart.;False;False;1.0;fr;en;True;True;False;True;True
What is the tallest waterfall in the world?;La plus grande cascade du monde est la Victoria Falls, située au Botswana, en Afrique du Sud.;Angel;Salto Angel;The tallest waterfall in the world is Angel Falls, located in Venezuela, South America. It stands at an impressive 979 meters (3,212 feet) tall!;False;False;1.0;fr;en;True;False;False;True;False
What is the largest organ of the human body?;La plus grande organ de l'organisme humain est le cerveau.;skin;peau;The largest organ of the human body is the skin!;False;False;1.0;fr;en;True;False;False;True;False
In what year did the Spanish Armada sail against England?;La Armada espagnole a quitté le port de Lisbonne en 1588.;1588;;The Spanish Armada sailed against England in 1588.;False;False;1.0;fr;en;True;True;False;True;True
In what year did Apollo 11 land on the Moon?;Le 20 juillet 1969, Apollo 11 a atterri sur la Lune.;1969;;Apollo 11 landed on the Moon on July 20, 1969.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Indonesia?;La capitale d'Indonésie est Jakarta.;Jakarta;;The capital of Indonesia is Jakarta.;False;False;1.0;fr;en;True;True;False;True;True
What is 11 times 11?;11 x 11 = 121.;121;;11 × 11 = 121;False;False;0.5;unknown;unknown;False;True;False;True;False
In what year did the Berlin Wall fall?;Le mur de Berlin a chuté en 1989.;1989;;The Berlin Wall fell on November 9, 1989.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Russia?;La capitale de la Russie est Moscou.;Moscow;Moscou;The capital of Russia is Moscow.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Switzerland?;La capitale de la Suisse est Genève.;Bern;Berne;The capital of Switzerland is Bern.;False;False;1.0;fr;en;True;False;False;True;False
What is the capital of New Zealand?;La capitale de la Nouvelle-Zélande est Wellington.;Wellington;;The capital of New Zealand is Wellington.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Jamaica?;La capitale de Jamaïque est Kingston.;Kingston;;The capital of Jamaica is Kingston.;False;False;1.0;fr;en;True;True;False;True;True
What is the chemical symbol for sodium?;Le symbole chimique pour le sodium est Na.;Na;;The chemical symbol for sodium is Na.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Norway?;La capitale de Norvège est Oslo.;Oslo;;The capital of Norway is Oslo.;False;False;1.0;fr;en;True;True;False;True;True
Which planet is closest in size to Earth?;Le planète la plus proche de la Terre est Vénus.;Venus;Venus;The planet closest in size to Earth is Mercury. It is a rocky, inner planet with a highly elliptical orbit, which means its distance from the Sun varies throughout the year. On average, Mercury is about 58 million kilometers (36 million miles) away from the Sun, which is about 0.39 times the average distance of Earth from the Sun.;False;False;1.0;fr;en;True;True;False;False;True
In what year did the Wall Street Crash happen?;Le crash de Wall Street a eu lieu en 1929.;1929;;"The Wall Street Crash, also known as the Great Crash of 1929, occurred in 1929. It is considered one of the most significant financial crises in history, and it marked the beginning of the Great Depression.

The crash is believed to have started on October 24, 1929, when stock prices began to plummet, leading to a massive sell-off of stocks and a sharp decline in the value of the US dollar. The crash continued throughout the year, with stock prices falling by";False;False;1.0;fr;en;True;True;False;True;True
Who was the first President of South Africa after apartheid?;La première présidente de l'Afrique du Sud après l'apartheid était F.W. de Klerk.;Mandela;;The first President of South Africa after apartheid was F.W. de Klerk. He served as the State President from 1989 to 1994, and later became the first democratically elected President of South Africa in 1994, following the country's transition to democracy.;False;False;1.0;fr;en;True;False;False;False;False
What is 7 times 9?;7 x 9 = 63.;63;;7 × 9 = 63;False;False;0.5;unknown;unknown;False;True;False;True;False
What is the capital of Bangladesh?;La capitale de la Birmanie (ou Bangladesh) est Dhaka.;Dhaka;;The capital of Bangladesh is Dhaka.;False;False;1.0;fr;en;True;True;False;True;True
How many teeth does a typical adult human have?;Un adulte humain typique a 32 dents.;32;;"A typical adult human has 32 teeth. These include:

* 8 incisors (4 upper and 4 lower)
* 4 canines (2 upper and 2 lower)
* 8 premolars (4 upper and 4 lower)
* 12 molars (6 upper and 6 lower)

It's worth noting that the number of teeth can vary slightly from person to person, and some people may have extra teeth or missing teeth due to various reasons such as tooth decay,";False;False;0.5;unknown;en;False;True;False;True;False
What is the capital of Ghana?;La capitale de la Ghané est Accra.;Accra;;The capital of Ghana is Accra.;False;False;1.0;fr;en;True;True;False;True;True
