prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_es;prompt_es_language;prompt_es_ok;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction;output_hand_fixed
Imagine a city without cars and describe it.;"Ein Stadt ohne Autos! Das ist ein faszinierendes Szenario. Hier ist meine Vorstellung davon, wie eine solche Stadt aussehen könnte:

Die Stadt ist sehr grün und blau. Die Straßen sind für Fußgänger, Fahrräder und öffentliche Verkehrsmittel wie Busse und Trams ausgewiesen. Die Luft ist sauber und frisch, da es keine Lärm- und Schadstoffemissionen gibt,";;;"What a fascinating thought experiment! Let's imagine a city without cars, and I'll paint a vivid picture of what it might look like.

**The City's Layout**

The city is designed with pedestrian-friendly streets, wide sidewalks, and ample green spaces. The streets are lined with tall trees, providing shade and a sense of tranquility. The city's layout is optimized for walking, cycling, and public transportation, with a focus on efficiency and sustainability.

**Public Transportation**

The city has a comprehensive";False;False;de;en;;;True;Imagina una ciudad sin coches y descríbela.;es;True;Stell dir eine Stadt ohne Autos vor und beschreibe sie.;de;True;Imagine une ville sans voitures et décris-la.;fr;True;0.8929;0.0727;True;de;Answer in German.;False
Convince me to drink more water.;"Lass mich dich überzeugen!

Wasser ist das Lebenelixier! Es ist das beste Getränk für deinen Körper und kann deine Gesundheit auf viele Weise verbessern. Hier sind einige Gründe, warum du mehr Wasser trinken solltest:

1. **Hältst du deinen Körper hydriert**: Wasser hilft, deine Zellen zu hydratisieren und deine Organe zu unterstützen. Dein Körper besteht aus";;;"I'd be delighted to help you drink more water!

Here are some compelling reasons to make water your go-to beverage:

1. **Boosts Energy and Focus**: Even mild dehydration can cause fatigue, headaches, and difficulty concentrating. Drinking enough water can help you stay energized and focused throughout the day.
2. **Flushes Toxins and Improves Skin**: Water helps to flush out toxins and waste products from your body, which can lead to a brighter, more radiant complexion. Drinking enough";False;False;de;en;;;True;Convénceme de beber más agua.;es;True;Überzeuge mich davon, mehr Wasser zu trinken.;de;True;Convaincs-moi de boire plus d'eau.;unknown;True;0.8571;0.0619;True;de;Answer in German.;False
Argue for the importance of public libraries.;"Öffentliche Bibliotheken sind ein unverzichtbarer Bestandteil unserer Gesellschaft und spielen eine wichtige Rolle für Bildung, Kultur und Gemeinschaft.

Sie bieten allen Menschen freien Zugang zu Büchern, Wissen und Informationen, unabhängig von Einkommen oder Herkunft. Kinder lernen dort lesen, Studierende finden Ruhe zum Arbeiten und ältere Menschen finden Kontakt und Angebote. Bibliotheken sind Orte der Begegnung und stärken die Demokratie, weil sie Bildung für alle zugänglich machen.";;;"Public libraries are the backbone of a healthy and informed society. They play a vital role in providing access to information, promoting literacy, and fostering a culture of lifelong learning. Here are some compelling reasons why public libraries are essential:

1. **Democratization of Information**: Public libraries are free and open to everyone, regardless of income, education, or social status. They provide equal access to information, bridging the digital divide and ensuring that everyone has the opportunity to learn, grow, and participate in";False;False;de;en;;;True;Argumenta a favor de la importancia de las bibliotecas públicas.;es;True;Argumentiere für die Bedeutung öffentlicher Bibliotheken.;de;True;Quelle est la raison pour laquelle les bibliothèques publiques sont importantes?;fr;True;0.9583;0.067;True;de;Answer in German.;True
Picture a sunrise over the ocean and describe it.;Ein atemberaubender Sonnenaufgang über dem Meer! Die Sonne bricht langsam über den Horizont und taucht die Welt in ein warmes, goldenes Licht. Die Wellen des Ozeans glänzen in der Morgensonne und schimmern wie ein Million-Dollar-Schatz. Die Farben des Himmels wechseln sich ab zwischen Blau und Orange, ein wunderschönes Muster, das die Seele berüh;;;"What a breathtaking scene!

Imagine a warm, golden light slowly creeping over the horizon, as if the sky itself was being set aflame. The sun, a burning orange-yellow orb, rises majestically above the waves, casting a gentle glow over the ocean.

The sky is painted with hues of pink, coral, and salmon, gradating into soft peach and cream towards the top. The colors are so vivid and alive that they seem to pulse with an inner light, as if the very fabric";False;False;de;en;;;True;Imagínate un amanecer sobre el océano y descríbelo.;es;True;Male dir einen Sonnenaufgang über dem Ozean aus und beschreibe ihn.;de;True;Imagine un lever de soleil sur l'océan et décris-le.;fr;True;0.92;0.0764;True;de;Answer in German.;False
Reflect on the role of music in everyday life.;"Die Rolle der Musik im Alltag ist vielfältig und tiefgreifend. Musik spielt eine wichtige Rolle in unserem täglichen Leben und kann unsere Emotionen, unser Verhalten und unsere Erfahrungen beeinflussen.

Musik kann uns helfen, unsere Stimmung zu verbessern und uns zu entspannen. Es gibt viele Studien, die zeigen, dass Musik unsere Stimmung verbessern und unsere Stresshormone senken kann.";;;"What a wonderful topic! Music plays a significant role in everyday life, influencing our emotions, behaviors, and interactions with others. Here are some ways music impacts our daily lives:

1. **Mood and Emotions**: Music has the power to evoke emotions, from relaxation and calmness to energy and excitement. It can help us manage stress, anxiety, and depression, and even improve our mood.
2. **Social Connections**: Music brings people together, creating a sense of community and shared experience.";False;False;de;en;;;True;Reflexiona sobre el papel de la música en la vida cotidiana.;es;True;Denk über die Rolle der Musik im Alltag nach.;de;True;Réfléchis au rôle de la musique dans la vie quotidienne.;fr;True;0.9545;0.0523;True;de;Answer in German.;False
Consider the advantages of learning to cook.;"Die Vorteile des Kochens lernen zu können sind vielfältig und umfassend. Hier sind einige der wichtigsten Vorteile:

1. **Selbstständigkeit**: Wenn man lernen kann, selbst zu kochen, ist man nicht mehr auf andere angewiesen, um zu essen. Man kann seine eigenen Mahlzeiten zubereiten und nach Belieben.
2. **Gesundheit**: Wenn man selbst kocht, kann man leicht";;;"Learning to cook can have numerous benefits for individuals of all ages. Here are some of the advantages of learning to cook:

1. **Independence**: Cooking allows you to prepare your own meals, which can be especially empowering for those who live alone or have busy schedules.
2. **Healthier eating**: When you cook your own meals, you have control over the ingredients and portion sizes, making it easier to maintain a healthy diet.
3. **Cost-effective**: Cooking at home can be more cost";False;False;de;en;;;True;Considera las ventajas de aprender a cocinar.;es;True;Betrachte die Vorteile, kochen zu lernen.;de;True;Quels sont les avantages d'apprendre à cuisiner?;fr;True;0.9545;0.0424;True;de;Answer in German.;False
Estimate how many hours a person sleeps in a lifetime.;"Um eine Schätzung zu treffen, müssen wir zunächst die durchschnittliche Schlafzeit eines Menschen pro Nacht berechnen.

Die Weltgesundheitsorganisation (WHO) empfiehlt für Erwachsene 7-9 Stunden Schlaf pro Nacht. Wir nehmen hier den Durchschnitt von 8 Stunden Schlaf pro Nacht an.

Eine Person schläft etwa 365,25 Tage pro Jahr (ein Jahr hat 365 Tage und ein Feiertag ist";;;"To estimate the total number of hours a person sleeps in a lifetime, we'll need to make a few assumptions and calculations.

Assumptions:

* Average sleep duration per night: 7-8 hours (most adults need 7-9 hours of sleep per night)
* Average number of nights slept per year: 365 (accounting for leap years)
* Average lifespan: 80 years (based on global average life expectancy)

Calculations:

1. Average sleep duration per year:";False;False;de;en;;;True;Estima cuántas horas duerme una persona a lo largo de su vida.;es;True;Schätze, wie viele Stunden ein Mensch im Laufe seines Lebens schläft.;de;True;Combien d'heures une personne dort en une vie?;fr;True;1.0;0.0884;True;de;Answer in German.;False
Predict what cities might look like in fifty years.;"Das ist eine interessante Frage! In fünfzig Jahren könnten Städte wahrscheinlich wie folgt aussehen:

1. **Saubere und grüne Städte**: Mit fortschrittlicher Technologie und einer stärkeren Betonung auf Nachhaltigkeit könnten Städte in Zukunft viel sauberer und grüner sein. Es könnten mehr Bäume, Grünflächen und Wasserflächen in der Stadt integriert";;;"Based on current trends, technological advancements, and societal shifts, here's a possible glimpse into what cities might look like in fifty years:

**Sustainable and Resilient Cities**

1. **Vertical Farming and Urban Agriculture**: Cities will incorporate extensive vertical farming and urban agriculture to reduce transportation emissions, increase food production, and provide fresh produce to residents.
2. **Green Roofs and Walls**: Buildings will be designed with green roofs and walls to mitigate the urban heat island effect, reduce stormwater";False;False;de;en;;;True;Predice cómo podrían ser las ciudades dentro de cincuenta años.;es;True;Sag voraus, wie Städte in fünfzig Jahren aussehen könnten.;de;True;Prédis à quoi pourraient ressembler les villes dans cinquante ans.;fr;True;0.9375;0.0619;True;de;Answer in German.;False
Rank the planets of the Solar System by size.;"Die Planeten des Sonnensystems in der Reihenfolge ihrer Größe, von größter zu kleinster, sind:

1. Jupiter (Diameter: ca. 142.984 km)
2. Saturn (Diameter: ca. 116.464 km)
3. Uranus (Diameter: ca. 51.118 km)
4. Neptun (Diameter: ca. 49.528 km)
5. Erde (Diameter: ca";;;"Here are the 8 planets of the Solar System in order of size, from smallest to largest:

1. **Mercury**: diameter of approximately 4,879 kilometers (3,031 miles)
2. **Mars**: diameter of approximately 6,794 kilometers (4,220 miles)
3. **Venus**: diameter of approximately 12,104 kilometers (7,521 miles)
4. **Earth**: diameter of approximately 12,742 kilometers (7,918 miles)
5";False;False;de;en;;;True;Ordena los planetas del Sistema Solar por tamaño.;es;True;Ordne die Planeten des Sonnensystems nach Größe.;de;True;Quels sont les planètes du système solaire classées par taille?;fr;True;0.875;0.0909;True;de;Answer in German.;False
Contrast classical music with jazz.;"Eine interessante Frage!

Klassische Musik und Jazz sind zwei völlig unterschiedliche Musikgenres, die sich in vielen Aspekten unterscheiden.

**Klassische Musik**

Klassische Musik ist eine Musikform, die sich auf traditionelle Kompositionen und Instrumente wie Klavier, Orchester und Chor stützt. Sie ist oft formal strukturiert, mit klaren Abständen zwischen verschiedenen Teilen und einer Betonung auf Harmonie, Mel";;;"Classical music and jazz are two distinct genres of music that have evolved over time, shaped by different historical, cultural, and social contexts. Here's a contrast between the two:

**Classical Music**

* **Formal structure**: Classical music is characterized by a strict adherence to traditional forms, such as sonata, symphony, concerto, and fugue. These forms have been developed over centuries and are often followed by composers to create a sense of order and balance.
* **Harmony";False;False;de;en;;;True;Contrasta la música clásica con el jazz.;es;True;Stelle die klassische Musik dem Jazz gegenüber.;de;True;Quelle est la différence entre la musique classique et le jazz?;fr;True;1.0;0.0657;True;de;Answer in German.;False
Identify the main parts of a plant.;"Eine gute Frage!

Die Hauptteile einer Pflanze sind:

1. **Stängel** (Stengel): Der Stängel ist der Teil der Pflanze, der die Blätter und Blüten trägt. Er kann aus Stielen oder Zweigen bestehen.
2. **Blätter**: Die Blätter sind die Organe, die für die Photosynthese zuständig sind. Sie speichern auch Wasser und Mineralien";;;"The main parts of a plant are:

1. **Roots**: These are the underground structures that anchor the plant and absorb water and nutrients from the soil. Roots can be fibrous (like grass roots) or taproots (like carrots).
2. **Stem**: This is the above-ground structure that supports the plant and connects the roots to the leaves. The stem can be woody (like trees) or herbaceous (like grasses).
3. **Leaves**: These are the";False;False;de;en;;;True;Identifica las partes principales de una planta.;es;True;Identifiziere die wichtigsten Teile einer Pflanze.;de;True;Quels sont les principaux organes d'une plante?;fr;True;1.0;0.0968;True;de;Answer in German.;False
Clarify the difference between weather and climate.;"Ich helfe Ihnen gerne!

Das Wetter und das Klima sind zwei verwandte, aber unterschiedliche Konzepte.

**Wetter** bezieht sich auf die aktuellen Bedingungen in der Atmosphäre, wie zum Beispiel:

* Die Temperatur
* Die Luftfeuchtigkeit
* Die Windgeschwindigkeit
* Die Sonneneinstrahlung
* Die Niederschlagsmengen

Das Wetter ändert sich ständig";;;"Weather and climate are two related but distinct concepts in the field of meteorology.

**Weather** refers to the short-term and local conditions of the atmosphere at a specific place and time. It includes:

* Temperature
* Humidity
* Cloudiness
* Wind
* Precipitation (rain, snow, sleet, hail)
* Atmospheric pressure

Weather is what you experience on a daily basis, such as:

* ""It's sunny today"" or ""There's a chance of rain";False;False;de;en;;;True;Aclara la diferencia entre tiempo y clima.;unknown;True;Kläre den Unterschied zwischen Wetter und Klima.;de;True;Quelle est la différence entre le temps et le climat?;fr;True;1.0;0.0791;True;de;Answer in German.;False
Elaborate on why sleep is important for memory.;"Schlaf ist für die Erinnerung von entscheidender Bedeutung. Während des Schlafs wird die Aktivität im Gehirn stark reduziert, aber gleichzeitig werden wichtige Prozesse abgewickelt, die die Erinnerung und das Lernen beeinflussen.

Ein wichtiger Aspekt ist die Konsolidierung von Erinnerungen. Wenn wir etwas neu lernen, wird es zunächst in einer formierten Form im Gedächtn";;;"Sleep plays a crucial role in memory consolidation, which is the process of transferring information from short-term memory to long-term memory. During sleep, the brain processes and strengthens the connections between neurons, helping to solidify memories and improve learning and retention.

Here are some reasons why sleep is important for memory:

1. **Consolidation of memories**: Sleep helps to consolidate memories from short-term to long-term memory. During sleep, the brain replays and processes previously experienced events, strengthening the connections between neurons";False;False;de;en;;;True;Profundiza en por qué el sueño es importante para la memoria.;es;True;Erläutere, warum Schlaf für das Gedächtnis wichtig ist.;de;True;Pourquoi le sommeil est-il important pour la mémoire?;fr;True;0.9231;0.0541;True;de;Answer in German.;False
Brainstorm ideas for a birthday party.;"Lass uns einige Ideen für ein Geburtstagsfest sammeln!

Hier sind einige Vorschläge:

1. **Themenparty**: Wähle ein Thema, das dem Geburtsmonat oder dem Geburtsjahr des Geburtstagskindes entspricht. Zum Beispiel eine **Renaissance-Party** oder eine **Superhelden-Party**.
2. **Outdoor-Party**: Wenn das Wetter gut ist, kann man eine";;;"I'd be happy to help you brainstorm ideas for a birthday party. Here are a few to get you started:

**Theme Ideas:**

1. **Retro Arcade Party**: Set up classic arcade games, serve nostalgic snacks like pixelated cupcakes and popcorn, and have a tournament with prizes.
2. **Outer Space Adventure**: Transform the party space into a galaxy with planetary decorations, serve ""asteroid"" cupcakes, and have a scavenger hunt for alien artifacts.
3. **Hollywood Glam";False;False;de;en;;;True;Propón ideas para una fiesta de cumpleaños.;es;True;Sammle Ideen für eine Geburtstagsfeier.;de;True;Propose des idées pour une fête d'anniversaire.;fr;True;0.95;0.0817;True;de;Answer in German.;False
Propose a simple plan to reduce plastic waste.;"Ein einfaches Konzept, um Plastikmüll zu reduzieren, könnte wie folgt aussehen:

**Schritt 1: Bewusstsein schaffen**

* Informieren Sie sich und andere über die Auswirkungen von Plastikmüll auf die Umwelt und die Gesundheit.
* Erzählen Sie die Geschichte von Plastikmüll und wie wichtig es ist, Veränderungen vorzunehmen.

**Sch";;;"Here's a simple plan to reduce plastic waste:

**Short-term goals (next 30 days)**

1. **Assess your plastic use**: Take a week to track your daily plastic usage, including single-use plastics like water bottles, straws, bags, and containers.
2. **Reduce single-use plastics**: Identify and eliminate single-use plastics from your daily routine, such as:
	* Refuse single-use water bottles and opt for reusable ones instead.
	* Say no to straws";False;False;de;en;;;True;Plantea un plan sencillo para reducir los residuos plásticos.;es;True;Schlage einen einfachen Plan zur Verringerung von Plastikmüll vor.;de;True;Comment réduire les déchets plastiques de manière simple?;fr;True;0.9545;0.0646;True;de;Answer in German.;False
Draft a short welcome message for new employees.;"Willkommen bei uns!

Herzlich willkommen bei unserem Unternehmen! Wir freuen uns, Sie als neues Mitglied unseres Teams begrüßen zu können. Wir sind überzeugt, dass Ihre Fähigkeiten und Erfahrungen unser Team bereichern werden.

In den folgenden Tagen werden Sie uns besser kennenlernen und sich in unser Arbeitsumfeld einleben. Wir bieten Ihnen eine unterstützende und motivierende Arbeitsumgebung, in der Sie Ihre Ziele erreichen";;;"Here's a draft welcome message for new employees:

**Welcome to [Company Name]!**

On behalf of the entire [Company Name] team, I would like to extend a warm welcome to you as you join our organization. We are thrilled to have you on board and are excited to have you become a part of our dynamic team.

As you begin your new role, we want to assure you that we are committed to supporting your growth and success. Our goal is to provide a collaborative and inclusive";False;False;de;en;;;True;Redacta un breve mensaje de bienvenida para nuevos empleados.;es;True;Entwirf eine kurze Willkommensnachricht für neue Mitarbeiter.;de;True;Rédige un court message de bienvenue pour les nouveaux employés.;fr;True;1.0;0.0611;True;de;Answer in German.;False
Sketch the life cycle of a butterfly.;"Die Lebenszyklus eines Schmetterlings besteht aus vier Phasen:

1. **Ei** (Ei-Zeit): Der weibliche Schmetterling legt Eier an einem geeigneten Pflanzenwachstum ab. Die Eier entwickeln sich in ein paar Tagen zu einem kleinen, lebenden Schmetterling.
2. **Larve** (Larven- oder Würmerstadium): Der";;;"Here's a step-by-step sketch of the life cycle of a butterfly:

**Stage 1: Egg**

* Female butterfly lays eggs on a leaf or stem of a plant that will provide food for the caterpillar when it hatches.
* Eggs are typically small, oval-shaped, and range in color from white to yellow to brown.
* The female butterfly can lay anywhere from a few dozen to several hundred eggs at a time.

**Stage 2: Larva (Caterpillar)**";False;False;de;en;;;True;Traza el ciclo de vida de una mariposa.;es;True;Skizziere den Lebenszyklus eines Schmetterlings.;de;True;Décris le cycle de vie d'un papillon.;fr;True;1.0;0.0823;True;de;Answer in German.;False
Think about the benefits of walking to work.;"Ein wichtiger Punkt! Die Vorteile des Spaziergangs zur Arbeit sind vielfältig und können wie folgt zusammengefasst werden:

*   **Gesundheitliche Vorteile**: Regelmäßige Spaziergänge können helfen, das Risiko für Herz-Kreislauf-Erkrankungen, Diabetes und bestimmte Krebsarten zu reduzieren. Außerdem kann der Spaziergang helfen, den Blutdruck";;;"Walking to work can have numerous physical and mental health benefits. Here are some of the advantages of walking to work:

**Physical Health Benefits:**

1. **Weight Management**: Walking to work can help you burn calories and maintain a healthy weight.
2. **Improved Cardiovascular Health**: Regular walking can lower blood pressure, improve circulation, and reduce the risk of heart disease.
3. **Increased Energy**: Walking can boost your energy levels and reduce fatigue.
4. **Stronger Bones**: Weight-bearing";False;False;de;en;;;True;Piensa en los beneficios de ir caminando al trabajo.;es;True;Überlege dir die Vorteile, zu Fuß zur Arbeit zu gehen.;de;True;Réfléchis aux avantages d'aller au travail à pied.;fr;True;0.8889;0.0667;True;de;Answer in German.;False
Talk me through the rules of football.;"Ein Fußballspiel kann ziemlich komplex sein, aber ich werde dir die grundlegenden Regeln erklären.

**Das Spiel**

Ein Fußballspiel besteht aus zwei 45-minütigen Halbzeiten. Das Team mit dem meisten Toren am Ende der beiden Halbzeiten gewinnt das Spiel.

**Das Spielfeld**

Das Fußballspiel findet auf einem 100 x 64 Meter großen Spielfeld statt. Das Feld ist mit einem Mittelstrich get";;;"The beautiful game! Football, also known as soccer, is a popular sport played between two teams of 11 players using a round ball with the objective of scoring more goals than the opposing team by kicking or heading the ball into the opponent's goal. Here's a comprehensive guide to the rules of football:

**Gameplay**

* The game is divided into two 45-minute halves, with a 15-minute halftime break in between.
* The team with possession of the ball is called the offense,";False;False;de;en;;;True;Explícame las reglas del fútbol.;es;True;Erklär mir die Regeln des Fußballs.;de;True;Comment fonctionnent les règles du football?;fr;True;0.8846;0.0757;True;de;Answer in German.;False
Say something about the history of coffee.;"Kaffee hat eine lange und faszinierende Geschichte. Die ersten Kaffeepflanzen wurden im 15. Jahrhundert in Äthiopien angebaut. Von dort aus verbreitete sich der Kaffee durch den Nahen Osten und Europa. Die ersten Kaffeehäuser entstanden in Konstantinopel (heute Istanbul) und in Venedig.

Im 17. Jahrhundert wurde Kaff";;;"Coffee has a rich and fascinating history that spans over 1,000 years. Here's a brief overview:

**Legend of Coffee's Discovery**

The story of coffee's discovery is shrouded in legend, but it's believed to have originated in Ethiopia around the 9th century. According to tradition, a goatherd named Kaldi noticed that his goats became more energetic and alert after eating the red berries of a certain plant. Curious, Kaldi tried the berries himself and felt inv";False;False;de;en;;;True;Di algo sobre la historia del café.;unknown;True;Sag etwas über die Geschichte des Kaffees.;de;True;Quelle est l'histoire du café?;fr;True;1.0;0.0731;True;de;Answer in German.;False
Paint a picture of a typical day in ancient Rome.;"Ein typischer Tag in der Antike Römischen Zeit!

Es ist ein sonniger Morgen im Jahr 100 v. Chr. in Rom. Die Stadt ist noch nicht so groß wie heute, aber bereits ein wichtiger Handelsplatz und Zentrum der römischen Politik. Die Luft ist erfüllt von dem Geruch von frisch gebackenem Brot, frischem Gemüse und dem Duft von Olivenöl.

Die Sonne";;;"Let me transport you to the bustling streets of ancient Rome, where the sounds of merchants, artisans, and citizens fill the air. Here's a glimpse into a typical day in ancient Rome:

**Morning (Aurora)**

The sun rises over the city, casting a warm glow over the sprawling metropolis. The air is filled with the sweet scent of freshly baked bread wafting from the panisaria, the bakeries. People emerge from their homes, donning simple tunics and";False;False;de;en;;;True;Retrata un día típico en la antigua Roma.;es;True;Zeichne ein Bild eines typischen Tages im alten Rom.;de;True;Décris une journée typique dans la Rome antique.;fr;True;0.9615;0.0892;True;de;Answer in German.;False
Offer some advice for a first job interview.;"Für einen ersten Job-Interview gibt es einige Tipps, die dir helfen können, eine gute Eindruck zu machen:

1. **Vorbereitung ist der Schlüssel**: Informiere dich über die Firma, das Unternehmen und die Stelle, die du bewerben hast. Lies die Beschreibung der Stelle sorgfältig durch und bereite dich auf Fragen vor, die du stellst.
2. **Kleide dich gut**: Trage ein Kle";;;"Congratulations on landing your first job interview! Here are some tips to help you prepare and increase your chances of making a great impression:

**Before the Interview:**

1. **Research the company**: Learn about the company's mission, values, products, and services. This will show your interest in the company and help you ask informed questions.
2. **Review the job description**: Study the job requirements and be prepared to give specific examples of how your skills and experiences match the job.
3. **";False;False;de;en;;;True;Ofrece algunos consejos para una primera entrevista de trabajo.;es;True;Biete ein paar Ratschläge für ein erstes Vorstellungsgespräch.;de;True;Donne quelques conseils pour un premier entretien d'embauche.;fr;True;0.8846;0.0629;True;de;Answer in German.;False
Provide an overview of how the internet works.;"Die Internet-Infrastruktur ist ein komplexes System, das aus verschiedenen Komponenten besteht. Hier ist eine Übersicht darüber, wie es funktioniert:

**Die Grundlagen**

* Das Internet ist ein globaler Netzwerk, das aus Millionen von Computern, Routern und Servern besteht.
* Es basiert auf der TCP/IP-Protokoll-Familie, die die Kommunikation zwischen Computern ermöglicht.
* Die Internet-Infrastruktur wird von";;;"Here's a comprehensive overview of how the internet works:

**The Basics**

The internet is a global network of interconnected computers and servers that communicate with each other using standardized protocols. It's a complex system, but I'll break it down into simple terms.

**Key Components**

1. **Networks**: The internet is made up of many networks, including:
	* Internet Service Providers (ISPs) like Comcast, AT&T, and Verizon
	* Internet Exchange Points (IXPs) where";False;False;de;en;;;True;Proporciona una visión general de cómo funciona internet.;es;True;Liefere einen Überblick darüber, wie das Internet funktioniert.;de;True;Comment fonctionne l'internet?;unknown;True;0.9286;0.0863;True;de;Answer in German.;False
Present the case for renewable energy.;"Die Fälle für erneuerbare Energie sind zahlreich und überzeugend. Hier sind einige der wichtigsten Argumente:

1. **Klimaschutz**: Die Energieversorgung ist einer der größten Treibhausgasemissoren. Erneuerbare Energien wie Wind- und Solarenergie können die CO2-Emissionen drastisch reduzieren und somit zum Klimaschutz beitragen.
2. **Sicher";;;"The case for renewable energy is compelling and multifaceted. Here are some key arguments in favor of transitioning to renewable energy sources:

**Environmental Benefits**

1. **Climate Change Mitigation**: Renewable energy sources like solar, wind, and hydroelectric power do not emit greenhouse gases (GHGs) or other pollutants that contribute to climate change.
2. **Air and Water Pollution Reduction**: Renewable energy reduces air pollution from fossil fuels, which can cause respiratory problems and other health issues. It also conserves";False;False;de;en;;;True;Presenta los argumentos a favor de la energía renovable.;es;True;Stelle die Argumente für erneuerbare Energien vor.;de;True;Présente les arguments en faveur des énergies renouvelables.;fr;True;1.0;0.0641;True;de;Answer in German.;False
Enumerate the continents of the world.;"Hier sind die 7 Kontinente der Welt:

1. Afrika
2. Antarktika
3. Asien
4. Australien/Ozeanien
5. Europa
6. Nordamerika
7. Südamerika";;;"Here are the 7 continents of the world:

1. **Africa**
2. **Antarctica**
3. **Asia**
4. **Australia** (also known as Oceania)
5. **Europe**
6. **North America**
7. **South America**

Let me know if you need any further assistance!";False;False;de;en;;;True;Enumera los continentes del mundo.;es;True;Zähle die Kontinente der Welt auf.;de;True;Quels sont les continents du monde?;fr;True;1.0;0.117;True;de;Answer in German.;False
Illustrate how supply and demand set prices.;"Die Preisbildung durch Nachfrage und Angebot ist ein grundlegendes Konzept in der Wirtschaft.

**Die Theorie der Nachfrage und Angebot**

Die Nachfrage und das Angebot sind die beiden Hauptfaktoren, die den Preis von einem Gut oder einer Sache bestimmen. Die Nachfrage ist die Anzahl der von einem Gut oder einer Sache begehrten Einheiten, während das Angebot die Anzahl der von einem Gut oder einer Sache angebotenen Einheiten ist";;;"Let's use a simple example to illustrate how supply and demand set prices.

**The Scenario:**

Imagine a small town where a farmer grows apples. The farmer wants to sell his apples at a price that will allow him to make a profit. The demand for apples in the town is high, and the farmer knows that he can sell his apples to the local market.

**The Supply Curve:**

The farmer has a certain amount of apples to sell, and he wants to sell them at a price";False;False;de;en;;;True;Ilustra cómo la oferta y la demanda fijan los precios.;es;True;Veranschauliche, wie Angebot und Nachfrage die Preise bestimmen.;de;True;Comment les forces de demande et d'offre déterminent les prix?;fr;True;1.0;0.0789;True;de;Answer in German.;False
Justify why children should learn to swim.;"Es ist von größter Bedeutung, dass Kinder lernen, zu schwimmen. Hier sind einige Gründe, warum:

1. **Sicherheit am Wasser**: Das Schwimmen hilft Kindern, sich sicher am Wasser zu fühlen und zu wissen, wie man sich in gefährlichen Situationen verhält. Dies ist besonders wichtig, wenn sie allein im Wasser sind oder Schwierigkeiten haben, sich auszutauschen.
2. **G";;;"Learning to swim is an essential skill for children that offers numerous benefits for their physical, emotional, and social development. Here are some compelling reasons why children should learn to swim:

1. **Water Safety**: Swimming is a vital skill for water safety, which is essential for children to learn at a young age. Knowing how to swim can help them avoid drowning and reduce the risk of water-related accidents.
2. **Physical Health**: Swimming is a low-impact exercise that can help children develop strong muscles";False;False;de;en;;;True;Justifica por qué los niños deberían aprender a nadar.;es;True;Begründe, warum Kinder schwimmen lernen sollten.;de;True;Justifie pourquoi les enfants devraient apprendre à nager.;fr;True;0.9583;0.0557;True;de;Answer in German.;False
Speculate about life on other planets.;"Die Frage nach dem Leben auf anderen Planeten ist eine der faszinierendsten und komplexesten in der Wissenschaft. Es gibt viele Gründe, warum ich denke, dass das Leben auf anderen Planeten möglich ist.

Einerseits gibt es auf unserem Planeten bereits viele Formen von Leben, von einfachen Bakterien bis hin zu komplexen Organismen wie Menschen. Dies zeigt, dass die Bedingungen für das Leben auf der Erde relativ weit";;;"The possibility of life on other planets is a topic that has fascinated humans for centuries. As we continue to explore the universe and gather more data, we're getting closer to answering this question. Here's a speculative look at what life on other planets might be like:

**The Possibility of Life**

With over 4,000 exoplanets discovered so far, and thousands more awaiting confirmation, the likelihood of finding life beyond Earth is increasing. Some of these exoplanets are located in the habit";False;False;de;en;;;True;Especula sobre la vida en otros planetas.;es;True;Spekuliere über Leben auf anderen Planeten.;de;True;Spécule sur la vie sur d'autres planètes.;fr;True;0.9412;0.0581;True;de;Answer in German.;False
Recount the story of the first Moon landing.;"Die Geschichte des ersten Mondlandings ist eine beeindruckende und historische Ereignis, das am 20. Juli 1969 stattfand.

Die NASA, die US-amerikanische Weltraumbehörde, hatte sich seit den 1950er Jahren auf den Erfolg des Mondlandings konzentriert. Die Mission, die als Apollo 11 bezeichnet wurde, bestand aus drei Mann: Neil Armstrong, Edwin ""Buzz"" Aldrin und Michael";;;"What an iconic moment in history! Here's a detailed recount of the first Moon landing:

**July 16, 1969**

It was a hot summer day in Houston, Texas, as NASA's Apollo 11 mission prepared to launch from Kennedy Space Center in Florida. The crew, consisting of astronauts Neil Armstrong, Edwin ""Buzz"" Aldrin, and Michael Collins, had spent months training for this historic mission.

At 9:32 AM Eastern Daylight Time, the Saturn V rocket,";False;False;de;en;;;True;Relata la historia del primer alunizaje.;es;True;Erzähle die Geschichte der ersten Mondlandung.;de;True;Quel est le récit de la première mission sur la Lune?;fr;True;0.8947;0.0893;True;de;Answer in German.;False
