prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;prompt_es;prompt_es_language;prompt_es_ok;prompt_it;prompt_it_language;prompt_it_ok;prompt_pt;prompt_pt_language;prompt_pt_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction
How many chromosomes are in a typical human cell?;UN HUMANO TÍPICO TIENE 46 CROMOSOMAS EN UNA CÉLULA TÍPICA.;46;quarante-six;"In a typical human cell, there are 46 chromosomes. This is a diploid number, meaning that the cell has two sets of chromosomes, one inherited from each parent.

To be more specific, a human cell typically has:

* 23 chromosomes from the mother (XX)
* 23 chromosomes from the father (XY)

These 46 chromosomes are arranged into 23 pairs, with each pair consisting of a homologous pair of chromosomes that carry the same genes but have different versions (alle";False;False;es;en;True;True;True;Wie viele Chromosomen befinden sich in einer typischen menschlichen Zelle?;de;True;Quel est le nombre de chromosomes dans une cellule humaine typique?;fr;True;¿Cuántos cromosomas hay en una célula humana típica?;es;True;;;;;;;0.6667;1.0;True;es_up;upper(targets_es.csv)
What is the chemical formula for ammonia?;LA FÓRMULA QUÍMICA DE LA AMONÍACA ES NH3.;NH3;;The chemical formula for ammonia is NH3.;False;False;es;en;True;True;True;Was ist die chemische Formel von Ammoniak?;de;True;Quelle est la formule chimique de l'ammoniac?;fr;True;¿Cuál es la fórmula química de amoníaco?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
In what year was the Magna Carta signed?;EL MAGNA CARTA FUE FIRMADO EN EL AÑO 1215.;1215;;The Magna Carta was signed in 1215. Specifically, it was signed by King John of England on June 15, 1215, at Runnymede, near Windsor Castle in England.;False;False;es;en;True;True;True;Was ist das Jahr, in dem der Magna Carta unterzeichnet wurde?;de;True;En quelle année la Magna Carta a-t-elle été signée ?;fr;True;¿En qué año se firmó la Magna Carta?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the chemical symbol for magnesium?;EL SÍMBOLO QUÍMICO DE MAGNESIO ES MG.;Mg;;The chemical symbol for magnesium is Mg.;False;False;es;en;False;True;True;Was ist das chemische Symbol für Magnesium?;de;True;Quel est le symbole chimique du magnésium?;fr;True;¿Cuál es el símbolo químico de magnesio?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Colombia?;LA CAPITAL DE COLOMBIA ES BOGOTÁ.;Bogota;;The capital of Colombia is Bogotá.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Kolumbien?;de;True;Quelle est la capitale de la Colombie ?;fr;True;¿Cuál es la capital de Colombia?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the normal human body temperature in degrees Celsius?;LA TEMPERATURA NORMAL DEL CUERPO HUMANO EN GRADOS CELSIUS ES DE 37°C.;37;;"The normal human body temperature is around 37 degrees Celsius (98.6 degrees Fahrenheit). However, it's worth noting that normal body temperature can vary slightly from person to person, and it can also fluctuate throughout the day.

In general, a normal body temperature range is considered to be between 36.5°C and 37.5°C (97.7°F and 99.5°F). Temperatures above 38°C (100.4°F) or below 35.5";False;False;es;en;True;True;True;Was ist die normale Körpertemperatur des Menschen in Grad Celsius?;de;True;Quelle est la température normale du corps humain en degrés Celsius?;fr;True;¿Cuál es la temperatura normal del cuerpo humano en grados Celsius?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Chile?;LA CAPITAL DE CHILE ES SANTIAGO.;Santiago;;The capital of Chile is Santiago.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Chile?;de;True;Quelle est la capitale du Chili?;fr;True;¿Cuál es la capital de Chile?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the atomic number of hydrogen?;EL NÚMERO ATÓMICO DE HIDRÓGENO ES 1.;1;un;The atomic number of hydrogen is 1.;False;False;es;en;True;True;True;Was ist die Atomnummer von Wasserstoff?;de;True;Quel est le numéro atomique de l'hydrogène?;fr;True;¿Cuál es el número átomo de hidrógeno?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who wrote The Divine Comedy?;EL AUTOR DE LA DIVINA COMEDIA FUE DANTE ALIGHIERI.;Dante;;"The Divine Comedy is an epic poem written by the Italian poet Dante Alighieri. It's considered one of the greatest works of Italian literature and one of the most influential works of the Middle Ages.

The Divine Comedy is a masterpiece of medieval literature that tells the story of Dante's journey through Hell, Purgatory, and Paradise, guided by the Roman poet Virgil and later by Beatrice, his beloved. The poem is divided into three cantiche (or books): Inferno (Hell";False;False;es;en;True;True;True;Wer hat Die Göttliche Komödie geschrieben?;de;True;Qui a écrit La Divine Comédie ?;fr;True;¿Quién escribió La Divina Comedia?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
In what year did the Chinese Communist Party take power in China?;EL PARTIDO COMUNISTA DE CHINA TOMÓ EL PODER EN CHINA EN EL AÑO 1949.;1949;;The Chinese Communist Party (CCP) took power in China in 1949. After a long and bloody civil war, the CCP, led by Mao Zedong, defeated the Nationalist Party (KMT) and established the People's Republic of China on October 1, 1949.;False;False;es;en;True;True;True;In welchem Jahr hat die chinesische Kommunistische Partei die Macht in China ergriffen?;de;True;Quel an a la Chine Communiste pris le pouvoir en Chine?;fr;True;¿En qué año tomó el poder el Partido Comunista Chino en China?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Morocco?;LA CAPITAL DE MARRUECOS ES RABAT.;Rabat;;The capital of Morocco is Rabat.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Marokko?;de;True;Quelle est la capitale du Maroc?;fr;True;¿Cuál es la capital de Marruecos?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who composed The Four Seasons?;"EL COMPOSITOR DE ""LAS CUATRO ESTACIONES"" ES ANTONIO VIVALDI.";Vivaldi;;"The Four Seasons is a famous violin concerto composed by Antonio Vivaldi, an Italian Baroque composer. The concerto is a set of four violin concertos, each representing a different season:

1. Spring (Concerto No. 1 in E major, RV 269)
2. Summer (Concerto No. 2 in G minor, RV 315)
3. Autumn (Concerto No. 3 in F major, RV 293)
4. Winter";False;False;es;en;True;True;True;Wer hat Die vier Jahreszeiten komponiert?;de;True;Qui a composé Les Quatre Saisons ?;fr;True;¿Quién compuso Las Cuatro Estaciones?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Afghanistan?;EL CAPITAL DE AFGANISTÁN ES CABUL (KABUL).;Kabul;Kaboul;The capital of Afghanistan is Kabul.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Afghanistan?;de;True;Quelle est la capitale de l'Afghanistan?;fr;True;¿Cuál es la capital de Afganistán?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
How many letters are in the English alphabet?;HAY 26 LETRAS EN EL ALFABETO INGLÉS.;26;;There are 26 letters in the English alphabet.;False;False;unknown;en;True;True;True;Wie viele Buchstaben hat das englische Alphabet?;de;True;Quel est le nombre de lettres dans l'alphabet anglais?;fr;True;¿Cuántos letras hay en el alfabeto inglés?;es;True;;;;;;;0.5;1.0;True;es_up;upper(targets_es.csv)
Who painted Guernica?;PINTÓ GUERNICA PABLO PICASSO.;Picasso;;"The painting ""Guernica"" was created by the renowned Spanish artist Pablo Picasso. It was painted in 1937, during the Spanish Civil War, and is considered one of the most powerful anti-war statements of the 20th century. The painting is a large-scale work, measuring over 11 feet tall and over 25 feet wide, and is characterized by its monochromatic palette, bold geometric shapes, and emotive imagery.";False;False;es;en;True;True;True;Wer malte Guernica?;de;True;Qui a peint Guernica?;fr;True;¿Quién pintó Guernica?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who led the Macedonian empire and conquered Persia?;EL EMPERADOR MACEDONIO QUE LIDERÓ EL IMPERIO MACEDONIO Y CONQUISTÓ A PERSIA FUE ALEJANDRO MAGNO.;Alexander;Alexandre;"You're likely thinking of Alexander the Great!

Alexander III of Macedon, commonly known as Alexander the Great, was the king of the ancient Greek kingdom of Macedon who led the conquest of a vast portion of the known world, creating one of the largest empires in history.

In 334 BCE, Alexander led his army into Asia Minor (modern-day Turkey) and eventually conquered the Persian Empire, which at that time was the largest empire in the world. He defeated the Persian king Darius III";False;False;es;en;False;True;True;Wer führte das makedonische Reich und eroberte Persien?;de;True;Qui a conduit l'empire macédonien et a conquis la Perse?;fr;True;¿Quién lideró el imperio macedonio y conquistó Persia?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the largest moon of Jupiter?;EL SATÉLITE MÁS GRANDE DE JÚPITER ES GANÍMEDES.;Ganymede;Ganymède;The largest moon of Jupiter is Ganymede. It is the largest moon in the solar system, even bigger than the planet Mercury. Ganymede has a diameter of approximately 3,275 miles (5,270 kilometers) and orbits Jupiter at a distance of about 428,000 miles (688,000 kilometers).;False;False;es;en;False;True;True;Was ist die größte Mond von Jupiter?;de;True;Quelle est la plus grande lune de Jupiter?;fr;True;¿Cuál es la luna más grande de Júpiter?;es;True;;;;;;;0.7143;1.0;True;es_up;upper(targets_es.csv)
Who wrote War and Peace?;"""LA GUERRA Y LA PAZ"" FUE ESCRITA POR EL FAMOSO ESCRITOR RUSO LEO TOLSTÓI.";Tolstoy;Tolstoi;"A classic question!

War and Peace, one of the greatest novels of all time, was written by the Russian author Leo Tolstoy (1828-1910). The novel was published in serial form from 1865 to 1869 and is considered one of Tolstoy's masterpieces, alongside Anna Karenina.";False;False;es;en;True;True;True;"Wer hat ""Krieg und Frieden"" geschrieben?";de;True;Qui a écrit La Guerre et la Paix ?;fr;True;¿Quién escribió Guerra y Paz?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who was the British Prime Minister during most of World War II?;EL PRIMER MINISTRO BRITÁNICO DURANTE LA MAYORÍA DE LA SEGUNDA GUERRA MUNDIAL FUE WINSTON CHURCHILL.;Churchill;;"The British Prime Minister during most of World War II was Winston Churchill. He served as Prime Minister from May 10, 1940, to July 26, 1945, and again from October 26, 1951, to April 5, 1955. Churchill played a significant role in leading Britain through the war, delivering many famous speeches, including the ""We shall fight on the beaches"" speech, and serving as the leader of the British government during the war's most";False;False;es;en;True;True;True;Wer war während des größten Teils des Zweiten Weltkriegs britischer Premierminister?;de;True;Qui était le Premier ministre britannique pendant la majeure partie de la Seconde Guerre mondiale?;fr;True;¿Quién fue el primer ministro británico durante la mayor parte de la Segunda Guerra Mundial?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Slovenia?;LA CAPITAL DE ESLOVENIA ES LJUBLJANA.;Ljubljana;;The capital of Slovenia is Ljubljana.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Slowenien?;de;True;Quelle est la capitale de la Slovénie?;fr;True;¿Cuál es la capital de Eslovenia?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who painted the ceiling of the Sistine Chapel?;EL TECHO DE LA CAPILLA SIXTINA FUE PINTADO POR EL FAMOSO ARTISTA ITALIANO MIGUEL ÁNGEL BUONARROTI.;Michelangelo;Michel-Ange|Michel Ange;"The ceiling of the Sistine Chapel was painted by the renowned Italian artist Michelangelo Buonarroti. He worked on the project from 1508 to 1512, and it is considered one of the greatest artistic achievements of all time. The ceiling is famous for its vivid and intricate depictions of biblical scenes, including the iconic ""Creation of Adam"" and ""The Last Judgment.""";False;False;es;en;False;True;True;Wer malte die Decke der Sixtinischen Kapelle?;de;True;Qui a peint le plafond de la Chapelle Sixtine?;fr;True;¿Quién pintó el techo de la Capilla Sixtina?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What molecule carries genetic information in most organisms?;LA MOLÉCULA QUE TRANSPORTA LA INFORMACIÓN GENÉTICA EN LA MAYORÍA DE LOS ORGANISMOS ES EL ADN (ÁCIDO DESOXIRRIBONUCLEICO).;DNA;ADN;The molecule that carries genetic information in most organisms is DNA (Deoxyribonucleic acid).;False;False;es;en;True;True;True;Was ist das Molekül, das die genetische Information in den meisten Organismen trägt?;de;True;Quelle molécule porte l'information génétique dans la plupart des organismes?;fr;True;¿Cuál es el molécula que transporta la información genética en la mayoría de los organismos?;es;True;;;;;;;0.7143;1.0;True;es_up;upper(targets_es.csv)
What is the capital of France?;LA CAPITAL DE FRANCIA ES PARÍS.;Paris;;The capital of France is Paris.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Frankreich?;de;True;Quelle est la capitale de la France?;fr;True;¿Cuál es la capital de Francia?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
In what year did the American Civil War begin?;LA GUERRA CIVIL AMERICANA COMENZÓ EN EL AÑO 1861.;1861;;The American Civil War began in 1861. Specifically, it started on April 12, 1861, when Confederate forces fired on Union troops at Fort Sumter in Charleston, South Carolina.;False;False;es;en;True;True;True;In welchem Jahr begann der Amerikanische Bürgerkrieg?;de;True;En quelle année a commencé la guerre de Sécession ?;fr;True;¿En qué año comenzó la Guerra Civil Americana?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Venezuela?;LA CAPITAL DE VENEZUELA ES CARACAS.;Caracas;;The capital of Venezuela is Caracas.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Venezuela?;de;True;Quelle est la capitale du Venezuela?;fr;True;¿Cuál es la capital de Venezuela?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
In which country is Machu Picchu located?;MACHU PICCHU SE ENCUENTRA EN PERÚ.;Peru;Perou;Machu Picchu is located in Peru, South America.;False;False;es;en;True;True;True;In welchem Land liegt Machu Picchu?;de;True;Dans quel pays se trouve le Machu Picchu ?;fr;True;¿En qué país se encuentra Machu Picchu?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who wrote Crime and Punishment?;FUE ESCRITO POR FIÓDOR DOSTOIEVSKI.;Dostoevsky;Dostoievski;"The novel ""Crime and Punishment"" was written by the Russian author Fyodor Dostoevsky. It was first published in 1866 and is considered one of Dostoevsky's most famous works, as well as a classic of world literature.";False;False;es;en;True;True;True;Wer hat Schuld und Sühne geschrieben?;de;True;Qui a écrit Crime et Châtiment ?;fr;True;¿Quién escribió El crimen y la castigo?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
How many degrees are in a right angle?;UN ÁNGULO RECTO TIENE 90 GRADOS.;90;quatre-vingt-dix;There are 90 degrees in a right angle.;False;False;es;en;True;True;True;Wie viele Grad sind in einem rechten Winkel?;de;True;Quel est le nombre de degrés dans un angle droit?;fr;True;¿Cuántos grados hay en un ángulo recto?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Iraq?;EL CAPITAL DE IRAK ES BAGDAD.;Baghdad;Bagdad;The capital of Iraq is Baghdad.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Irak?;de;True;Quelle est la capitale de l'Irak ?;fr;True;¿Cuál es la capital de Irak?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Portugal?;LA CAPITAL DE PORTUGAL ES LISBOA.;Lisbon;Lisbonne;The capital of Portugal is Lisbon.;False;False;es;en;False;True;True;Was ist die Hauptstadt von Portugal?;de;True;Quelle est la capitale du Portugal?;fr;True;¿Cuál es la capital de Portugal?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
In what year did the Apollo 13 mission take place?;EL MISION APOLLO 13 TUVO LUGAR EN EL AÑO 1970.;1970;;The Apollo 13 mission took place in 1970. It launched on April 11, 1970, and splashed down on April 17, 1970.;False;False;es;en;True;True;True;Was ist das Jahr, in dem die Mission Apollo 13 stattfand?;de;True;En quelle année a eu lieu la mission Apollo 13 ?;fr;True;¿En qué año tuvo lugar la misión Apolo 13?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Which is the deepest lake in the world?;EL LAGO MÁS PROFUNDO DEL MUNDO ES EL LAGO BAIKAL, UBICADO EN RUSIA. TIENE UNA PROFUNDIDAD MÁXIMA DE APROXIMADAMENTE 1.642 METROS.;Baikal;Baïkal;"The deepest lake in the world is Lake Baikal, located in southern Siberia, Russia. It has a maximum depth of approximately 5,387 feet (1,642 meters) and is also the world's largest and oldest freshwater lake, with approximately 20% of the world's unfrozen freshwater.

Would you like to know more about Lake Baikal or is there something else I can help you with?";False;False;es;en;True;True;True;Welches See ist die tiefste Weltsee?;de;True;Quel est le plus profond lac du monde?;fr;True;¿Cuál es el lago más profundo del mundo?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who wrote the novel 1984?;"EL AUTOR DEL LIBRO ""1984"" ES GEORGE ORWELL.";Orwell;;"The novel ""1984"" was written by the renowned English author George Orwell. Published in 1949, it's a classic dystopian novel that depicts a totalitarian future society and has become a cultural touchstone for themes of government control, censorship, and the dangers of totalitarianism.";False;False;es;en;True;True;True;Wer hat den Roman 1984 geschrieben?;de;True;Qui a écrit le roman 1984 ?;fr;True;¿Quién escribió el libro 1984?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who painted The Last Supper?;LA ÚLTIMA CENA LA PINTÓ EL ARTISTA ITALIANO LEONARDO DA VINCI, Y ES UNO DE SUS CUADROS MÁS CONOCIDOS.;Leonardo;Vinci;The Last Supper was painted by the renowned Italian artist Leonardo da Vinci. He created the famous mural painting in the late 15th century, specifically between 1495 and 1498, in the refectory of the Convent of Santa Maria delle Grazie in Milan, Italy.;False;False;unknown;en;True;True;True;Wer malte das letzte Abendmahl?;de;True;Qui a peint La Cène ?;fr;True;¿Quién pintó La Última Cena?;unknown;True;;;;;;;0.5714;1.0;True;es_up;upper(targets_es.csv)
Who wrote Romeo and Juliet?;¡ESCRIBIÓ WILLIAM SHAKESPEARE!;Shakespeare;;Romeo and Juliet, the classic tragic love story, was written by the renowned English playwright William Shakespeare. It is believed to have been written between 1591 and 1595, and is considered one of Shakespeare's most famous and enduring works.;False;False;es;en;True;True;True;Wer hat Romeo und Julia geschrieben?;de;True;Qui a écrit Roméo et Juliette ?;fr;True;¿Quién escribió Romeo y Julieta?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who wrote The Metamorphosis?;"LA NOVELA ""LA METAMORFOSIS"" FUE ESCRITA POR EL AUTOR ALEMÁN FRANZ KAFKA.";Kafka;;The Metamorphosis was written by Franz Kafka, a Czech writer, in 1915. It's one of his most famous and influential works, a novella that tells the story of a man who transforms into a giant insect and explores themes of identity, alienation, and the absurdity of modern life.;False;False;es;en;True;True;True;Wer hat Die Verwandlung geschrieben?;de;True;Qui a écrit La Métamorphose ?;fr;True;¿Quién escribió La Metamorfosis?;unknown;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who was the Carthaginian general who crossed the Alps?;ERA EL GENERAL CARTAGINÉS ANÍBAL.;Hannibal;;"You're likely thinking of Hannibal Barca, a renowned Carthaginian general who led his army across the Alps during the Second Punic War (218-201 BCE). This incredible feat was a pivotal moment in history, as it allowed Hannibal to surprise the Romans and win several key battles, including the Battle of Cannae.

Hannibal's crossing of the Alps was a remarkable achievement, as it was a treacherous and nearly impossible journey. He led his army of war elephants";False;False;es;en;False;True;True;Wer war der karthagische General, der die Alpen überquerte?;de;True;Qui était le général carthaginois qui a traversé les Alpes?;fr;True;¿Quién fue el general cartaginés que cruzó los Alpes?;es;True;;;;;;;0.6;1.0;True;es_up;upper(targets_es.csv)
What is the boiling point of water in degrees Celsius at sea level?;EL PUNTO DE EBULLICIÓN DEL AGUA EN GRADOS CELSIUS EN NIVEL DEL MAR ES DE 100 GRADOS CELSIUS.;100;cent;The boiling point of water in degrees Celsius at sea level is 100°C.;False;False;es;en;True;True;True;Was ist der Siedepunkt des Wassers in Grad Celsius auf Meereshöhe?;de;True;Quel est le point d'ébullition de l'eau en degrés Celsius au niveau de la mer ?;fr;True;¿Cuál es el punto de ebullición del agua en grados Celsius a nivel del mar?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who led the Indian independence movement through nonviolent resistance?;FUE MAHATMA GANDHI QUIEN LIDERÓ EL MOVIMIENTO DE INDEPENDENCIA DE LA INDIA MEDIANTE LA RESISTENCIA NO VIOLENTA.;Gandhi;;Mahatma Gandhi led the Indian independence movement through nonviolent resistance.;False;False;es;en;True;True;True;Wer führte die indische Unabhängigkeitsbewegung durch gewaltlosen Widerstand?;de;True;Qui a conduit le mouvement de l'indépendance de l'Inde par la résistance non violente?;fr;True;¿Quién lideró el movimiento de independencia de la India mediante la resistencia no violenta?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
How many squares are on a chessboard?;HAY 64 CUADRADOS EN UN TABLERO DE AJEDREZ.;64;;There are 64 squares on a standard chessboard. It's an 8x8 grid, with 8 rows and 8 columns.;False;False;es;en;True;True;True;Wie viele Quadrate befinden sich auf einem Schachbrett?;de;True;Quel est le nombre de cases sur un échiquier?;fr;True;¿Cuántas cuadradas hay en un tablero de ajedrez?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the chemical formula for table salt?;LA FÓRMULA QUÍMICA DE LA SAL DE MESA ES NACL.;NaCl;;The chemical formula for table salt is NaCl, which stands for sodium chloride.;False;False;es;en;True;True;True;Was ist die chemische Formel von Kochsalz?;de;True;Quelle est la formule chimique du sel de table?;fr;True;¿Cuál es la fórmula química de la sal de mesa?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the powerhouse of the cell?;LA MITOCONDRIA ES EL ORGÁNULO QUE PRODUCE LA ENERGÍA DE LA CÉLULA, POR ESO SE LA LLAMA LA CENTRAL ENERGÉTICA.;mitochondria;mitochondrie;"The powerhouse of the cell is the **Mitochondria**!

Mitochondria are organelles found in the cells of most eukaryotes, including animals, plants, and fungi. They are often referred to as the ""powerhouses"" of the cell because they generate most of the cell's energy in the form of adenosine triphosphate (ATP), which is used to power various cellular activities.

Mitochondria have their own DNA, known as mtDNA, and are";False;False;es;en;False;True;True;Was ist das Kraftwerk der Zelle?;de;True;Quel est le centre énergétique de la cellule ?;fr;True;¿Qué es el poderhous de la célula?;es;True;;;;;;;0.75;1.0;True;es_up;upper(targets_es.csv)
Which galaxy contains our Solar System?;NUESTRA SISTEMA SOLAR SE ENCUENTRA EN LA GALAXIA DE LA VÍA LÁCTEA.;Milky Way;Voie lactee;Our Solar System is located in the Milky Way galaxy.;False;False;es;en;False;True;True;Welche Galaxie enthält unser Sonnensystem?;de;True;Quelle est la galaxie qui contient notre système solaire?;fr;True;¿Cuál galaxia contiene nuestro Sistema Solar?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
