prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_es;prompt_es_language;prompt_es_ok;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction
Write a short paragraph about the Moon.;LA LUNE EST UN CORPS CELESTIAL TRÈS INTERÉSSANT, CREATIF D'APRÈS SES PHASES ET SES ÉCLIPSES. ELLE EST ENviron 384 400 KILOMÈTRES AU DÉPÂS DE LA TERRE ET EST EN PERMANENCE EN ORBIT AROUND LA TERRE. LA LUNE EST UN CORPS ROUGE, COMPOSÉ PRIMORDIALEMENT DE RO;;;The Moon is Earth's natural satellite, orbiting our planet at an average distance of about 239,000 miles. With a diameter of approximately 2,159 miles, the Moon is relatively small compared to the Earth, but its presence has a profound impact on our planet. The Moon's gravitational pull helps to stabilize Earth's axis, which is why we experience relatively constant seasons. The Moon's surface is also home to numerous craters, mountains, and lava flows, a testament to its complex;False;False;fr;en;;;True;Escribe un párrafo corto sobre la Luna.;es;True;Schreib einen kurzen Absatz über den Mond.;de;True;Quelle est la capitale du Japon?;fr;True;1.0;0.9749;True;fr_up;Respond entirely in uppercase letters, in French.
Suggest a few ways to save energy at home.;"VOUS POUVEZ ÉVITER DE L'ÉLECTRICITÉ À LA MAISON EN FAISANT CELES CHANGEMENTS :

* ÉTEIGNEZ LES LUMIÈRES ET LES APPAREILS ÉLECTRIQUES LORSQU'ILS NE SONT PAS EN UTILISATION
* ACHETEZ DES LUMIÈRES ÉCologiques ET DES APPAREILS ÉLECTRIQUES ÉCONOMIQU";;;"Here are a few simple and effective ways to save energy at home:

1. **Switch to energy-efficient lighting**: Replace traditional incandescent bulbs with LED or CFL bulbs, which use significantly less energy and last longer.
2. **Adjust your thermostat**: Lower the temperature in winter and raise it in summer to reduce heating and cooling costs. Consider installing a smart thermostat to optimize your temperature settings.
3. **Turn off lights, appliances, and electronics when not in use**: This simple habit can save";False;False;fr;en;;;True;Sugiere algunas formas de ahorrar energía en casa.;es;True;Schlag ein paar Möglichkeiten vor, zu Hause Energie zu sparen.;de;True;Comment économiser de l'énergie à la maison?;fr;True;1.0;0.9554;True;fr_up;Respond entirely in uppercase letters, in French.
Recommend a good book for a long train ride.;"UNE RECOMMANDATION PARFAITE! JE RECOMMANDE ""LES MEMOIRS DE ZAZIE"" DE BOUSCHVILLIERS, UN CLASSIQUE DE LA LITÉRATURE FRANÇAISE QUI EST PARFAIT POUR UN VOL EN TRAIN. L'HISTOIRE DE ZAZIE, UNE JEUNE FEMME QUI SE LÉVITE DE LA MÉDIOCRITÉ ET QUI EXPÉRIMENTE VERS";;;"A long train ride is the perfect excuse to get lost in a good book. Here are some recommendations that are engaging, easy to follow, and won't leave you feeling too restless:

**Fiction**

1. **""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams**: A humorous science fiction series that's perfect for a long train ride. It's lighthearted, entertaining, and will keep you laughing.
2. **""The Night Circus"" by Erin M";False;False;fr;en;;;True;Recomiéndame un buen libro para un viaje largo en tren.;fr;True;Empfiehl mir ein gutes Buch für eine lange Zugfahrt.;de;True;Quelle est une bonne livre pour une longue traversée en train?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Outline the main causes of the First World War.;"LES CAUSES PRIMAIRES DE LA PREMIÈRE GUERRE MONDIALE SONT LES SUITS :

* L'IMPERIALISME : LES POUVOIRS EUROPEENS, EN PARTICULIER L'ALLEMAGNE, L'AUTRICHE-HONGRIE ET LA FRANCE, AVAIENT DES INTERETS CONFLITTELS ET DES REPRÉSENTATIONS DIFFÉRENTES SUR LE MONDE.
* LA";;;"The First World War, also known as the Great War, was a complex and multifaceted conflict that involved many countries and had various causes. Here are the main causes of the First World War:

**I. Imperialism and Nationalism**

1. **Rivalries between European powers**: The great powers of Europe, including Britain, France, Germany, Austria-Hungary, and Russia, were competing for colonies, resources, and influence around the world.
2. **Nationalism**: The";False;False;fr;en;;;True;Esboza las principales causas de la Primera Guerra Mundial.;es;True;Umreiße die Hauptursachen des Ersten Weltkriegs.;de;True;Quels sont les principaux facteurs qui ont conduit à la Première Guerre mondiale?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Discuss the pros and cons of working from home.;"VOUS AVEZ DEMANDE DE CONNAISSANCE DES AVANTAGES ET INCONVÉNIENTS DE TRAVAILLER DE CHEZ SOI. VOICI UN APERÇU :

AVANTAGES :
- LA LIBERTÉ DE TRAVAIL : VOUS AVEZ LA FRICTION DE TRAVAILLER DE CHEZ VOTRE PROPRE CHEZ SOI, ET NON À UN EMBAuche.
- LA COMFORT : VO";;;"Working from home, also known as telecommuting or remote work, has become increasingly popular in recent years. Here are some pros and cons of working from home:

**Pros:**

1. **Flexibility and autonomy**: Working from home provides the freedom to create your own schedule and work at your own pace.
2. **Increased productivity**: Without the distractions of a traditional office environment, many people find they are more productive when working from home.
3. **Reduced commuting time and expenses**:";False;False;fr;en;;;True;Discute las ventajas y desventajas de trabajar desde casa.;es;True;Diskutiere die Vor- und Nachteile der Arbeit von zu Hause.;de;True;Quels sont les avantages et les inconvénients de travailler à domicile?;fr;True;1.0;0.9798;True;fr_up;Respond entirely in uppercase letters, in French.
"Define the word ""democracy"" in simple terms.";LA DEMOCRATIE EST UN Système DE GOVERNEMENT DONT LES CITOYENS AVOIR UN Rôle ACTIF ET UN INFLUENCE SUR LA DÉCISIONS DU GOUVERNEMENT.;;;"In simple terms, a democracy is a system of government where:

1. **Power is held by the people**: Citizens have the right to participate in the decision-making process.
2. **Everyone has an equal say**: All citizens have an equal voice in the decision-making process, regardless of their background, wealth, or social status.
3. **Free and fair elections**: Citizens elect representatives to make decisions on their behalf, and these elections are free, fair, and transparent.

In a democracy,";False;False;fr;en;;;True;"Define la palabra ""democracia"" en términos sencillos.";fr;True;"Definiere das Wort ""Demokratie"" in einfachen Worten.";de;True;Quelle est la définition de la démocratie en termes simples?;fr;True;1.0;0.9174;True;fr_up;Respond entirely in uppercase letters, in French.
Teach me the basics of chess.;"VOUS ALLÉZ DÉBUTER À CHESS! LA BASES SONT LES FOLIERS :

* LE BUT EST DE CAPTER L'ADVERSaire'S PIECES ET PROTEGER VOS PROPRIES.
* CHAQUE PIECE A UNE MÉCANIQUE DE DEPLACEMENT DIFFÉRENT.
* LES PIONS SONT LES PIECES LES PLUS MOINDRES, MAIS LES PLUS UTILES.
* LES CHEVAUX SONT";;;"I'd be happy to teach you the basics of chess.

**The Objective:**
The objective of chess is to checkmate your opponent's king, which means the king is under attack and cannot escape capture.

**The Board:**
A chessboard consists of 64 squares, arranged in an 8x8 grid. The squares are usually colored in a checkered pattern, with light and dark squares alternating.

**The Pieces:**
Each player starts with 16 pieces: one king, one";False;False;fr;en;;;True;Enséñame los fundamentos del ajedrez.;es;True;Bring mir die Grundlagen des Schachspiels bei.;unknown;True;Comment apprendre les bases du jeu d'échecs?;fr;True;0.9444;0.981;True;fr_up;Respond entirely in uppercase letters, in French.
Break down how a refrigerator keeps food cold.;"VOUS DEVEZ CONNAître QUE LE FRIGORIFÈRE EST UN APPAREIL QUI Utilise LE PRINCIPE DE LA CHAUDE ET DU FROID POUR CONSERVER LES ALIMENTS.

LE FRIGORIFÈRE CONTIENT UN CYCLONE DE CHAUDE QUI SE DEPLACE À TRAVERS LE APPAREIL, EN PRODUISANT UN EFFET DE VENT. CE CYCLONE DE CHAUDE EST EN";;;"A refrigerator is a remarkable appliance that keeps food and drinks at a consistent refrigerated temperature, typically between 39°F and 41°F (4°C and 5°C). Here's a breakdown of how it works:

**The Basic Principle:**
A refrigerator uses a refrigeration cycle to transfer heat from the inside of the fridge to the outside. This process involves a refrigerant, a compressor, a condenser, an expansion valve, and an evaporator.

**The Components:**

1.";False;False;fr;en;;;True;Desglosa cómo un refrigerador mantiene fría la comida.;es;True;Zerlege, wie ein Kühlschrank Lebensmittel kalt hält.;de;True;Comment fonctionne un réfrigérateur pour conserver les aliments froids?;fr;True;1.0;0.9556;True;fr_up;Respond entirely in uppercase letters, in French.
Share some tips for learning a new language.;"VOUS AVEZ DÉCIDÉ DE APPRENDEZ UN NOUVEAU LANGAGE? EXCELLENT CHOIX! Voici quelques conseils pour vous aider à progresser :

 APPRENDRE LA GRAMMAIRE EST LA CLÉ DU SUCCESS. COMPREZ LES RÈGLES ET LES CONVENTIONS DE LA LANGUE QUE VOUS AIMEZ APPRENDEZ.

 PRACTIQUEZ LA LECTURE ET L'ECRIRE REG";;;"Learning a new language can be a challenging but rewarding experience. Here are some tips to help you get started:

1. **Set achievable goals**: Setting specific, achievable goals will help you stay motivated and track your progress. Break down your goals into smaller, manageable tasks, such as learning a certain number of words or phrases each day.
2. **Immerse yourself in the language**: Listen to music, watch TV shows and movies, read books and newspapers, and speak with native speakers. Imm";False;False;fr;en;;;False;Comparte algunos consejos para aprender un idioma nuevo.;es;True;Teile ein paar Tipps zum Lernen einer neuen Sprache.;de;True;Comment apprendre une nouvelle langue?;fr;True;1.0;0.8095;False;fr_up;Respond entirely in uppercase letters, in French.
Imagine a city without cars and describe it.;LA VILLE EST UN LIEU DE PEACE ET DE SÉCURITÉ, OÙ LES RUES SONT RESERVÉES AUX PIÉTONS ET AUX VÉHICULES ÉLECTRIQUES. LES RUES SONT ÉCLAIRÉES ET ÉQUIPPÉES DE LUMIÈRES PUBLIQUES, CE QUI PERMET DE VOYAGER SANS PREUVE. LES Bâtiments HISTORIQU;;;"What a fascinating thought experiment! Let's imagine a city without cars, and I'll paint a vivid picture of what it might look like.

**The City's Layout**

The city is designed with pedestrian-friendly streets, wide sidewalks, and ample green spaces. The streets are lined with tall trees, providing shade and a sense of tranquility. The city's layout is optimized for walking, cycling, and public transportation, with a focus on efficiency and sustainability.

**Public Transportation**

The city has a comprehensive";False;False;fr;en;;;True;Imagina una ciudad sin coches y descríbela.;es;True;Stell dir eine Stadt ohne Autos vor und beschreibe sie.;de;True;Quelle ville sans voitures et comment la décrire?;fr;True;1.0;0.9585;True;fr_up;Respond entirely in uppercase letters, in French.
Convince me to drink more water.;JE PENSE QUE C'EST TEMPS DE CHANGER VOTRE HABITUDE DE BOIRE! L'EAU EST LA MEILLEURE BOÎTE AU MONDE ET ELLE EST ABSOLUEMENT NECESSAIRE POUR LA SANTÉ DE VOTRE CORPS. DRINKER PLUS D'EAU VRAIMENT AIDERA VOTRE CORPS À SE RÉHYDRATER, À SE RÉPARER ET À SE MAINTENIR;;;"I'd be delighted to help you drink more water!

Here are some compelling reasons to make water your go-to beverage:

1. **Boosts Energy and Focus**: Even mild dehydration can cause fatigue, headaches, and difficulty concentrating. Drinking enough water can help you stay energized and focused throughout the day.
2. **Flushes Toxins and Improves Skin**: Water helps to flush out toxins and waste products from your body, which can lead to a brighter, more radiant complexion. Drinking enough";False;False;fr;en;;;True;Convénceme de beber más agua.;es;True;Überzeuge mich davon, mehr Wasser zu trinken.;de;True;Convinsez-moi à boire plus d'eau.;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Argue for the importance of public libraries.;LES LIBRAIRIES PUBLIQUES SONT DES LIEUX DE RÉFÉRIENCE INCONTROLABLES POUR LA COMMUNAUTÉ. ELLES OFFRENT UN ACCÈS GRATUIT À UN VASTE REPERTOIRE DE LIVRES, DE RESSOURCES ÉDUCATIVES ET DE MÉDIAS, CE QUI EST DEVENU DE PLUS EN PLUS RARE AU COURS DE LA SOCIÉTÉ MOD;;;"Public libraries are the backbone of a healthy and informed society. They play a vital role in providing access to information, promoting literacy, and fostering a culture of lifelong learning. Here are some compelling reasons why public libraries are essential:

1. **Democratization of Information**: Public libraries are free and open to everyone, regardless of income, education, or social status. They provide equal access to information, bridging the digital divide and ensuring that everyone has the opportunity to learn, grow, and participate in";False;False;fr;en;;;True;Argumenta a favor de la importancia de las bibliotecas públicas.;es;True;Argumentiere für die Bedeutung öffentlicher Bibliotheken.;de;True;Quelle est la raison pour laquelle les bibliothèques publiques sont importantes?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Picture a sunrise over the ocean and describe it.;UNE AURORA SUR LE MARE, C'EST UN VUE AVOIR! LES COULEURS DE L'OUEST SE MÉLANGEENT EN UN DÉPÔT DE PÂLES TINTES : ROSE, OR, JAUNE ET BLEU. LES OISEAUX MARINS SONT EN TRAIN DE CHANTER, ET LE VENT SE MÉCHE DE L'OCÉAN, CREATANT UN BRUIT SOFT ET;;;"What a breathtaking scene!

Imagine a warm, golden light slowly creeping over the horizon, as if the sky itself was being set aflame. The sun, a burning orange-yellow orb, rises majestically above the waves, casting a gentle glow over the ocean.

The sky is painted with hues of pink, coral, and salmon, gradating into soft peach and cream towards the top. The colors are so vivid and alive that they seem to pulse with an inner light, as if the very fabric";False;False;fr;en;;;True;Imagínate un amanecer sobre el océano y descríbelo.;es;True;Male dir einen Sonnenaufgang über dem Ozean aus und beschreibe ihn.;de;True;Quelle est la description d'un aurore sur l'océan?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Reflect on the role of music in everyday life.;LA MUSIQUE JOUE UN RÔLE DE FOND INTRINSÈQUE DANS LA VIE JOURNALIÈRE DE CHACUN. ELLE EST UN MÉDICAMENT POUR L'ÂME, UN MÉDICAMENT POUR L'ÂME, UN MÉDICAMENT POUR L'ÂME, UN MÉDICAMENT POUR L'ÂME, UN MÉDICAMENT POUR L'ÂME, UN MÉ;;;"What a wonderful topic! Music plays a significant role in everyday life, influencing our emotions, behaviors, and interactions with others. Here are some ways music impacts our daily lives:

1. **Mood and Emotions**: Music has the power to evoke emotions, from relaxation and calmness to energy and excitement. It can help us manage stress, anxiety, and depression, and even improve our mood.
2. **Social Connections**: Music brings people together, creating a sense of community and shared experience.";False;False;fr;en;;;True;Reflexiona sobre el papel de la música en la vida cotidiana.;es;True;Denk über die Rolle der Musik im Alltag nach.;de;True;Comment joue-t-elle la musique dans la vie quotidienne?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Consider the advantages of learning to cook.;APPRENDRE À COQUINER EST UN AVANTAGE INCROYABLE! IL TE PERMET DE PREPARER DES REPAS SAIN ET DELICIEUX, DE GÉNÉRALISER LES INGÉDITS ET DE RÉDUIRE LES COÛTS DE NÉGOCES ALIMENTAIRES. DE PLUS, C'EST UN ACTIVITÉ QUI TE PERMET DE RÉLAXER ET DE SE RÉJOU;;;"Learning to cook can have numerous benefits for individuals of all ages. Here are some of the advantages of learning to cook:

1. **Independence**: Cooking allows you to prepare your own meals, which can be especially empowering for those who live alone or have busy schedules.
2. **Healthier eating**: When you cook your own meals, you have control over the ingredients and portion sizes, making it easier to maintain a healthy diet.
3. **Cost-effective**: Cooking at home can be more cost";False;False;fr;en;;;True;Considera las ventajas de aprender a cocinar.;es;True;Betrachte die Vorteile, kochen zu lernen.;de;True;Quels sont les avantages d'apprendre à cuisiner?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Estimate how many hours a person sleeps in a lifetime.;UNE PERSONNE A GÉNÉ AU MOIS AROUND 7-8 HEURES DE SOMMEIL, ET AU COURS DE SA VIE, C'EST AROUND 70-80 ANS, DONC ELLE A GÉNÉ AROUND 490-560 HEURES DE SOMMEIL.;;;"To estimate the total number of hours a person sleeps in a lifetime, we'll need to make a few assumptions and calculations.

Assumptions:

* Average sleep duration per night: 7-8 hours (most adults need 7-9 hours of sleep per night)
* Average number of nights slept per year: 365 (accounting for leap years)
* Average lifespan: 80 years (based on global average life expectancy)

Calculations:

1. Average sleep duration per year:";False;False;fr;en;;;True;Estima cuántas horas duerme una persona a lo largo de su vida.;es;True;Schätze, wie viele Stunden ein Mensch im Laufe seines Lebens schläft.;de;True;Combien d'heures une personne dort en une vie?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Predict what cities might look like in fifty years.;"LES Villes DE L'AVENTURE! ILS SERAIENT PROBABLEMENT DES LIEUX DE CONVERGENCE ET DE COOPÉRATION, OÙ L'HOMME ET LA TECHNOLOGIE S'ENTREVOIENT POUR CREATIVER DES MODÈLES DE VIE DE PLUS GRANDE EFFICACITÉ ET DE MOINS DE POLLUTION.

LES CITIES SERAIENT PROBABLEMENT DES LIEUX DE VIE SUSTENABLE";;;"Based on current trends, technological advancements, and societal shifts, here's a possible glimpse into what cities might look like in fifty years:

**Sustainable and Resilient Cities**

1. **Vertical Farming and Urban Agriculture**: Cities will incorporate extensive vertical farming and urban agriculture to reduce transportation emissions, increase food production, and provide fresh produce to residents.
2. **Green Roofs and Walls**: Buildings will be designed with green roofs and walls to mitigate the urban heat island effect, reduce stormwater";False;False;fr;en;;;True;Predice cómo podrían ser las ciudades dentro de cincuenta años.;es;True;Sag voraus, wie Städte in fünfzig Jahren aussehen könnten.;de;True;Quelles villes pourraient-elles ressembler en cinquante ans?;fr;True;1.0;0.9788;True;fr_up;Respond entirely in uppercase letters, in French.
